FileName,esoteric,esoteric_recover,esoteric_jsdec,esoteric_illu,esoteric_sd,esoteric_safe,fk,fk_recover,fk_jsdec,fk_illu,fk_sd,fk_safe
10007.js,-1.0,1.0,-1.0,-1.0,0.2816117901313898,-1.0,1.0,1.0,-1.0,1.0,0.2816117901313898,-1.0
100111.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100516.js,-1.0,1.0,-1.0,-1.0,0.3983611476019104,-1.0,0.9916473011895655,1.0,-1.0,0.954535094805252,0.3983611476019104,-1.0
100601.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100691.js,-1.0,1.0,-1.0,-1.0,0.21656642762976494,-1.0,0.9684747092264968,1.0,-1.0,1.0,0.21656642762976494,0.9684747092264968
10085.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100896.js,-1.0,1.0,-1.0,-1.0,0.27966182685271207,-1.0,0.946260733127703,1.0,-1.0,-1.0,0.27966182685271207,-1.0
101009.js,-1.0,1.0,-1.0,-1.0,0.12038585308576921,-1.0,1.0,1.0,-1.0,0.8944271909999159,0.12038585308576921,1.0
101261.js,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0
101576.js,-1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0,1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101611.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
102055.js,-1.0,1.0,-1.0,-1.0,0.09421683286017897,-1.0,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
102202.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
104155.js,-1.0,1.0,-1.0,-1.0,0.1749741181689038,-1.0,1.0,1.0,-1.0,1.0,0.1749741181689038,-1.0
104250.js,-1.0,1.0,-1.0,-1.0,0.3872583738787929,-1.0,0.9924843200918293,1.0,-1.0,-1.0,0.3872583738787929,-1.0
104310.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
104333.js,-1.0,1.0,-1.0,-1.0,0.4455702945691652,-1.0,0.9299969421919517,1.0,-1.0,1.0,0.4455702945691652,0.8707389016334425
104359.js,-1.0,1.0,-1.0,-1.0,0.45638179436421805,-1.0,-1.0,1.0,-1.0,-1.0,0.45638179436421805,-1.0
104431.js,-1.0,1.0,-1.0,-1.0,0.49604114903467594,-1.0,1.0,1.0,-1.0,0.9817550484752353,0.49604114903467594,0.9137407984034874
104510.js,-1.0,1.0,-1.0,-1.0,0.377329018271007,-1.0,-1.0,1.0,-1.0,-1.0,0.377329018271007,-1.0
10485.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11062.js,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0
1111.js,-1.0,1.0,-1.0,-1.0,0.2771289337670838,-1.0,0.9556497494904848,1.0,-1.0,-1.0,0.2771289337670838,-1.0
1115.js,-1.0,1.0,-1.0,-1.0,0.29025620603376195,-1.0,0.9901692565004975,1.0,-1.0,1.0,0.29025620603376195,-1.0
11216.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11245.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11429.js,-1.0,1.0,-1.0,-1.0,0.2516087893381316,-1.0,0.9610288359754995,1.0,-1.0,1.0,0.2516087893381316,-1.0
1225.js,-1.0,1.0,-1.0,-1.0,0.4575931037005801,-1.0,-1.0,1.0,-1.0,-1.0,0.4575931037005801,-1.0
12339.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1255.js,-1.0,1.0,-1.0,-1.0,0.2938390064189132,-1.0,0.9206227060463724,1.0,-1.0,1.0,0.2938390064189132,-1.0
12627.js,-1.0,1.0,-1.0,-1.0,0.296806212400759,-1.0,0.9513679437717079,1.0,-1.0,1.0,0.296806212400759,-1.0
1263.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1281.js,-1.0,1.0,-1.0,-1.0,0.2984391372685165,-1.0,-1.0,1.0,-1.0,-1.0,0.2984391372685165,-1.0
13025.js,-1.0,1.0,-1.0,-1.0,0.2284160962880643,-1.0,0.9201840552184064,1.0,-1.0,0.9795918367346939,0.2284160962880643,-1.0
13048.js,-1.0,1.0,-1.0,-1.0,0.21614823853578016,-1.0,0.8977310580745099,1.0,-1.0,0.9736842105263158,0.21614823853578016,0.6697108225289158
13070.js,-1.0,1.0,-1.0,-1.0,0.1446635276491074,-1.0,0.8621054497285195,1.0,-1.0,-1.0,0.1446635276491074,-1.0
13131.js,-1.0,1.0,-1.0,-1.0,0.12986260094871308,-1.0,1.0,1.0,-1.0,1.0,0.12986260094871308,-1.0
