FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
64381.js,0,0.75,0,,,
64486.js,0,0.6,0,,,
64731.js,0,1,0,,,
64890.js,0,0.375,0,,,
64988.js,0,0.272727273,0,,,
65234.js,0,0.333333333,0,,,
65290.js,0,0.6,0,,,
65321.js,0,0.25,0,,,
65545.js,0,0.6,0,,,
65949.js,0,1,0,,,
66225.js,0,0.25,0,,,
66377.js,0,0.5,0,,,
66394.js,0,0.75,0,,,
66479.js,0,1.5,0,,,
66894.js,0,3,0,,,
67717.js,0,3,0,,,
67894.js,0,1.5,0,,,
67918.js,0,1.5,0,,,
6806.js,0,0.428571429,0,,,
68139.js,0,3,0,,,
68297.js,0,3,0,,,
68706.js,0,1.5,0,,,
68856.js,0,1.5,0,,,
69433.js,0,3,0,,,
69578.js,0,1,0,,,
69705.js,0,3,0,,,
70158.js,0,3,0,,,
70346.js,0,0.6,0,,,
70353.js,0,3,0,,,
70745.js,0,3,0,,,
70748.js,0,3,0,,,
71056.js,0,3,0,,,
71310.js,0,3,0,,,
71371.js,0,3,0,,,
7156.js,0,3,0,,,
71716.js,0,0.157894737,0,,,
71739.js,0,3,0,,,
72068.js,0,1.5,0,,,
72137.js,0,0.214285714,0,,,
72470.js,0,1,0,,,
72841.js,0,0.75,0,,,
72949.js,0,1.5,0,,,
72989.js,0,3,0,,,
73243.js,0,1,0,,,
7325.js,0,1,0,,,
73442.js,0,1.5,0,,,
73506.js,0,1.5,0,,,
738.js,0,1,0,,,
74363.js,0,0.428571429,0,,,
7745.js,0,0.230769231,0,,,
79736.js,0,3,0,,,
79783.js,0,0.6,0,,,
79806.js,0,0.25,0,,,
79827.js,0,0.428571429,0,,,
79935.js,0,0.375,0,,,
80024.js,0,3,0,,,
80121.js,0,1,0,,,
80761.js,0,1.5,0,,,
81210.js,0,0.6,0,,,
81329.js,0,0.3,0,,,
81381.js,0,0.333333333,0,,,
81439.js,0,0.75,0,,,
81520.js,0,0.6,0,,,
81524.js,0,0.5,0,,,
81531.js,0,0.333333333,0,,,
81582.js,0,0.75,0,,,
82121.js,0,0.6,0,,,
82367.js,0,0.6,0,,,
82642.js,0,0.5,0,,,
82877.js,0,1.5,0,,,
82945.js,0,1,0,,,
82951.js,0,1.5,0,,,
82964.js,0,1.5,0,,,
