FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe
10007.js,0.29136554814646776,0.6408069008390093,0.29136554814646776,0.2816117901313898,-1.0
100111.js,-1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0,-1.0,-1.0
100516.js,0.393831280232829,0.652424077052582,0.39401407498866037,0.3983611476019104,-1.0
100601.js,-1.0,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0,-1.0
100691.js,0.26705838705062596,0.7900085285471954,0.26705838705062596,0.21656642762976494,-1.0
10085.js,-1.0,-1.0,-1.0,-1.0,-1.0
100896.js,0.39703253529313504,0.5422867870848123,0.39703253529313504,0.27966182685271207,-1.0
101009.js,0.12793206052938005,0.404145188432738,0.12793206052938005,0.12038585308576921,-1.0
101261.js,0.3050982227835136,0.5077958715563019,-1.0,0.26030430005647975,-1.0
101576.js,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101611.js,-1.0,-1.0,-1.0,-1.0,-1.0
102055.js,0.116543309349613,1.0,0.116543309349613,0.09421683286017897,-1.0
102202.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
104155.js,0.20914176994993516,0.6976315752707978,0.20914176994993516,0.1749741181689038,-1.0
104250.js,0.4362246029658368,0.5611671785169485,-1.0,0.3872583738787929,-1.0
104310.js,-1.0,-1.0,-1.0,-1.0,-1.0
104333.js,0.42107120651758273,0.5951856865913606,0.4245659606590944,0.4455702945691652,-1.0
104359.js,0.4109080830734521,0.5141079898357769,0.4114208978950227,0.45638179436421805,-1.0
104431.js,0.4971907045941649,0.6352207912437979,0.4949472314424513,0.49604114903467594,-1.0
104510.js,0.40738303510192125,0.4735017194408774,-1.0,0.377329018271007,-1.0
10485.js,-1.0,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0,-1.0
11062.js,0.48251184261531477,0.7775738113995844,0.48251184261531477,0.26030430005647975,-1.0
1111.js,0.38952537407650784,0.8664989975877138,-1.0,0.2771289337670838,-1.0
1115.js,0.4003382028881697,0.817815284205706,0.4003382028881697,0.29025620603376195,-1.0
11216.js,-1.0,-1.0,-1.0,-1.0,-1.0
11245.js,-1.0,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0,-1.0,-1.0
11429.js,0.3405343771841112,0.8381065430018891,0.34125814925924897,0.2516087893381316,-1.0
1225.js,0.3792237706868002,0.5038027741141533,0.3662772953286812,0.4575931037005801,-1.0
12339.js,-1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0,-1.0
1255.js,0.34406461373404634,0.5745503511691087,0.34697448294186606,0.2938390064189132,-1.0
12627.js,0.40267077869459167,0.74218089307639,0.4036160165649253,0.296806212400759,-1.0
1263.js,-1.0,-1.0,-1.0,-1.0,-1.0
1281.js,0.44881860085310193,0.5460508671809975,0.4509333136300495,0.2984391372685165,-1.0
13025.js,0.2743516305843672,0.8264714394326625,0.2743516305843672,0.2284160962880643,-1.0
13048.js,0.9736842105263158,-1.0,1.0,0.21614823853578016,0.701293708439678
13070.js,0.2009669677645352,0.7715167498104596,-1.0,0.1446635276491074,-1.0
13131.js,0.19164519247731238,0.9545454545454546,0.19164519247731238,0.12986260094871308,-1.0
13134.js,0.2557744333346544,0.7655590023509528,0.2485250608738542,0.2114722130550724,-1.0
13201.js,0.26473532192177524,0.8958333333333334,0.26473532192177524,0.18682446746213965,-1.0
13312.js,0.22335609907512335,0.8787878787878788,0.22335609907512335,0.15904855449750882,-1.0
13476.js,0.19041623007854647,0.8076923076923077,0.19041623007854647,0.17918432802946588,-1.0
13501.js,0.19041623007854647,0.8076923076923077,0.19041623007854647,0.17918432802946588,-1.0
13522.js,0.19104260094809164,0.8076923076923077,0.19104260094809164,0.17918432802946588,-1.0
13554.js,1.0,-1.0,1.0,0.08633316946034313,-1.0
13560.js,0.24891060626867303,0.5857142857142857,0.24891060626867303,0.17946978994062196,-1.0
1363.js,-1.0,-1.0,-1.0,-1.0,-1.0
13693.js,0.2722178614686481,0.8122914203647441,0.2722178614686481,0.20204270845206798,-1.0
138.js,0.47617261385879955,0.7450190111482863,0.47658012151905427,0.43901965769808343,-1.0
