FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
45491.js,0.657894737,0.025559105,0.026058632,0.058394161,,,
45493.js,0.580645161,0.034934498,0.035874439,0.074766355,,,
45502.js,0.810344828,0.013959391,0.014066496,0.022177419,,,
45505.js,0.565217391,0.011037528,0.011185682,0.0243309,,,
45510.js,0.641025641,0.025559105,0.026058632,0.058823529,,,
45545.js,0.454545455,0.02173913,0.029411765,0.04,,,
46432.js,1,0.181818182,0.25,0.266666667,,,
4676.js,0.714285714,0.086206897,0.111111111,0.147058824,,,
4677.js,0.727272727,0.071428571,0.08,0.137931034,,,
4698.js,0.4,0.107142857,0.12,0.153846154,,,
4764.js,0.666666667,0.073979592,0.075129534,0.133027523,,,
4861.js,0.540540541,0.136363636,0.146341463,0.226415094,,,
48748.js,0.8,0.228571429,0.275862069,0.275862069,,,
48769.js,0.785714286,0.171875,0.189655172,0.20754717,,,
4945.js,0.5,0.059405941,0.063157895,0.096774194,,,
49662.js,0.3125,0.078947368,0.12,0.142857143,,,
49663.js,0.3125,0.081081081,0.125,0.142857143,,,
49711.js,0.745454545,0.010735373,0.01080497,0.019286403,,,
49847.js,0.777777778,0.19047619,0.275862069,0.347826087,,,
4998.js,0.913043478,0.317073171,0.371428571,0.52,,,
50055.js,0.326732673,0.014534884,0.015060241,0.025641026,,,
50084.js,0.475,0.054347826,0.0625,0.084745763,,,
50130.js,0.408,0.026315789,0.02745098,0.039772727,,,
50145.js,0.518072289,0.018315018,0.019157088,0.038461538,,,
50198.js,0.576923077,0.036630037,0.038314176,0.061728395,,,
50341.js,0.827586207,0.039215686,0,0.057971014,,,
50345.js,0.859649123,0.03960396,0,0,,,
50370.js,0.85915493,0.029411765,0.032258065,0.047619048,,,
50382.js,0.901960784,0.049382716,0.057971014,0,,,
50402.js,0.733870968,0.020634921,0.021001616,0.032338308,,,
50435.js,0.777777778,0.035714286,0.037735849,0.044444444,,,
50441.js,1,0.032110092,0.033980583,0.039106145,,,
50453.js,1,0.03255814,0.034482759,0.039106145,,,
50524.js,0.842105263,0.025641026,0.038461538,0.045454545,,,
50529.js,0.857142857,0.024390244,0.035714286,0.04,,,
50552.js,0.9,0.027777778,0.043478261,0.045454545,,,
50562.js,0.9,0.027777778,0.043478261,0.045454545,,,
50570.js,0.857142857,0.024390244,0.035714286,0.04,,,
50600.js,0.968253968,0.016536118,0.016622922,0.026874116,,,
50605.js,0.566666667,0.032786885,0.040816327,0.052631579,,,
50635.js,0.714285714,0.069444444,0.083333333,0.131578947,,,
50646.js,0.666666667,0.12962963,0.166666667,0.291666667,,,
50674.js,0.631578947,0.134615385,0.175,0.259259259,,,
50693.js,0.666666667,0.142857143,0.189189189,0.291666667,,,
50721.js,1,0.008928571,0.01,0.022222222,,,
50732.js,1,0.016666667,0.020833333,0.027027027,,,
50735.js,1,0.012195122,0.014285714,0.025,,,
50818.js,1,0.075471698,0.097560976,0.129032258,,,
50889.js,0.9,0.072727273,0.093023256,0.117647059,,,
51012.js,0.590163934,0.043478261,0.043576941,0.083550914,,,
51042.js,0.62745098,0.141666667,0.149122807,0.207317073,,,
51051.js,0.576923077,0.148148148,0.166666667,0.195121951,,,
51070.js,0.615384615,0.173913043,0.2,0.216216216,,,
51083.js,0.573333333,0.109589041,0.114285714,0.152380952,,,
5111.js,0.714285714,0.142857143,0.375,0.2,,,
51151.js,0.761904762,0.2,0.230769231,0.333333333,,,
51153.js,0.5,0.203703704,0.229166667,0.297297297,,,
51188.js,0.777777778,0.189189189,0.225806452,0.25,,,
5133.js,0.592592593,0.163934426,0.181818182,0.333333333,,,
5134.js,0.843137255,0.155172414,0.163636364,0.243243243,,,
51378.js,0.641025641,0.108910891,0.115789474,0.196428571,,,
51515.js,0.647058824,0.151515152,0.185185185,0.25,,,
51603.js,0.850649351,0.043478261,0.044117647,0.057507987,,,
51738.js,0.454545455,0.102040816,0.11627907,0.166666667,,,
5200.js,0.846153846,0.272727273,0.45,0.5625,,,
5213.js,1,0.295454545,0.342105263,0.419354839,,,
5214.js,0.727272727,0.089655172,0.09352518,0.121495327,,,
5217.js,0.555555556,0.081081081,0.096774194,0.111111111,,,
5246.js,0.735294118,0.155172414,0.2,0.191489362,,,
5259.js,0.736842105,0.151515152,0.188679245,0.208333333,,,
5262.js,0.68,0.18,0.204545455,0.290322581,,,
52707.js,0.666666667,0.127272727,0.142857143,0.184210526,,,
52733.js,0.6875,0.125,0.136363636,0.1875,,,
52883.js,0.622222222,0.153846154,0.166666667,0.218181818,,,
53097.js,0.576923077,0.049861496,0.050704225,0.06405694,,,
53217.js,0.532258065,0.090909091,0.100917431,0.11827957,,,
5323.js,0.5,0.114285714,0.181818182,0.166666667,,,
53346.js,0.616438356,0.038461538,0.040322581,0.049019608,,,
53380.js,0.84375,0.045454545,0.05,0.06122449,,,
53384.js,0.727272727,0.01980198,0.021052632,0.023255814,,,
53399.js,0.733333333,0.056818182,0.06097561,0.080645161,,,
53473.js,0.558375635,0.019058296,0.019187359,0.023480663,,,
53509.js,0.7,0.016393443,0.020833333,0.018867925,,,
53531.js,0.746031746,0.020833333,0.024096386,0.025,,,
53628.js,0.793103448,0.178571429,0.2,0.256410256,,,
53651.js,0.6,0.117647059,0.129032258,0.125,,,
53741.js,0.92,0.139534884,0.2,0.166666667,,,
53868.js,0.769230769,0.164556962,0.178082192,0.228070175,,,
5394.js,0.833333333,0.134831461,0.155844156,0.203389831,,,
5396.js,0.948571429,0.113243762,0.115913556,0.187898089,,,
5403.js,0.992359121,0.080368906,0.080448401,0.189809413,,,
54129.js,0.8,0.311111111,0.4375,0.4375,,,
5431.js,0.558139535,0.061386139,0.062124248,0.100323625,,,
54354.js,0.772727273,0.173913043,0.214285714,0.214285714,,,
5449.js,0.829268293,0.042253521,0.051724138,0.058823529,,,
54815.js,0.826086957,0.204545455,0.290322581,0.333333333,,,
54874.js,0.851851852,0.172413793,0.192307692,0.285714286,,,
55065.js,0.892857143,0.326086957,0.375,0.375,,,
55073.js,0.655172414,0.090909091,0.102040816,0.106382979,,,
5525.js,0.717391304,0.035230352,0.036516854,0.144444444,,,
55287.js,0.9,0.256410256,0.303030303,0.333333333,,,
55289.js,0.75,0.1,0.135135135,0.147058824,,,
55350.js,0.661016949,0.123893805,0.14,0.147368421,,,
55447.js,0.827586207,0.205882353,0.213414634,0.3125,,,
55483.js,0.636363636,0.111111111,0.128205128,0.151515152,,,
55560.js,0.842105263,0.153846154,0.169491525,0.217391304,,,
55570.js,0.64,0.145833333,0.166666667,0.21875,,,
5565.js,0.5,0.1,0.285714286,0.5,,,
55685.js,0.979591837,0.658333333,0.692982456,0.692982456,,,
55725.js,0.939393939,0.228070175,0.295454545,0.270833333,,,
55733.js,0.741935484,0.186666667,0.202898551,0.304347826,,,
55856.js,0.72972973,0.149253731,0.163934426,0.175438596,,,
56047.js,0.961538462,0.30952381,0.361111111,0.481481481,,,
56167.js,0.833333333,0.113207547,0.15,0.162162162,,,
56216.js,0.75,0.148148148,0.166666667,0.2,,,
5623.js,0.783333333,0.052356021,0.056179775,0.085470085,,,
56348.js,0.75,0.086614173,0.090909091,0.127906977,,,
56372.js,0.692307692,0.1,0.113636364,0.138888889,,,
56410.js,1,0.166666667,0.208333333,0.2,,,
56418.js,0.853658537,0.138297872,0.147727273,0.220338983,,,
5646.js,1,0.217391304,0.294117647,0.5,,,
56467.js,0.849056604,0.266666667,0.285714286,0.311688312,,,
56478.js,0.838709677,0.226415094,0.255319149,0.292682927,,,
56487.js,0.769230769,0.1875,0.230769231,0.333333333,,,
5649.js,0.829268293,0.115384615,0.138461538,0.183673469,,,
56547.js,0.553846154,0.08,0.083333333,0.108108108,,,
56601.js,0.916666667,0.175438596,0.196078431,0.263157895,,,
56727.js,0.935483871,0.275862069,0.307692308,0.363636364,,,
56892.js,0.333333333,0.133333333,0.222222222,0.2,,,
56923.js,0.90625,0.203389831,0.226415094,0.260869565,,,
57025.js,0.55,0.020408163,0.023529412,0.090909091,,,
5711.js,1,0.107142857,0.136363636,0.2,,,
57194.js,0.647058824,0.095238095,0.117647059,0.12244898,,,
57223.js,0.683333333,0.097222222,0.1,0.141891892,,,
57426.js,1,0.310344828,0.529411765,0.473684211,,,
57449.js,0.777777778,0.08,0.105263158,0.285714286,,,
57455.js,0.590909091,0.111111111,0.146341463,0.181818182,,,
57567.js,1,1,0,0,,,
5758.js,0.702702703,0.126436782,0.144736842,0.234042553,,,
57583.js,1,0.369863014,0.402985075,0.402985075,,,
57617.js,0.8,0.142857143,0.2,0.375,,,
57698.js,0.857142857,0.21875,0.368421053,0.304347826,,,
5784.js,0.5625,0.15942029,0.174603175,0.224489796,,,
57951.js,0.689655172,0.236363636,0.30952381,0.342105263,,,
57964.js,0.724137931,0.136986301,0.149253731,0.27027027,,,
58229.js,0.8,0.2,0.272727273,0.310344828,,,
58294.js,0.384615385,0.102564103,0.121212121,0.173913043,,,
58412.js,0.666666667,0.2,0.224489796,0.35483871,,,
58487.js,0.769230769,0.109090909,0.113207547,0.236842105,,,
58550.js,0.857142857,0.3125,0.384615385,0.434782609,,,
58570.js,0.777777778,0.304347826,0.411764706,0.7,,,
58616.js,0.428571429,0.121212121,0.148148148,0.25,,,
58645.js,0.666666667,0.15,0.214285714,0.428571429,,,
58685.js,1,0.325581395,0.378378378,0.368421053,,,
5888.js,0.228070175,0.01910828,0.020689655,0.030612245,,,
