FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
56216.js,0.75,0.1,0.275862069,,,
56348.js,0.75,0.080291971,0.148648649,,,
56372.js,0.692307692,0.064102564,0.185185185,,,
56410.js,1,0.081967213,0.3125,,,
5646.js,1,0.092592593,0.555555556,,,
56467.js,0.849056604,0.214285714,0.375,,,
56478.js,0.838709677,0.148148148,0.333333333,,,
56487.js,0.769230769,0.101694915,0.4,,,
5649.js,0.829268293,0.086538462,0.195652174,,,
56727.js,0.935483871,0.188235294,0.432432432,,,
56892.js,0.333333333,0.064516129,0.363636364,,,
57025.js,0.55,0.015037594,0.095238095,,,
5711.js,1,0.050847458,0.214285714,,,
57194.js,0.647058824,0.06,0.15,,,
57449.js,0.777777778,0.05,0.25,,,
57455.js,0.590909091,0.070588235,0.206896552,,,
57583.js,1,0.262135922,0.465517241,,,
57698.js,0.857142857,0.116666667,0.538461538,,,
57964.js,0.724137931,0.096153846,0.277777778,,,
58229.js,0.8,0.125,0.391304348,,,
58294.js,0.384615385,0.0625,0.266666667,,,
58550.js,0.857142857,0.158730159,0.666666667,,,
58570.js,0.777777778,0.127272727,0.777777778,,,
58616.js,0.428571429,0.0625,0.266666667,,,
58685.js,1,0.189189189,0.5,,,
59012.js,0.913043478,0.084507042,0.24,,,
59075.js,0.6,0.171428571,0.45,,,
59093.js,0.565217391,0.056338028,0.16,,,
59099.js,0.84375,0.144736842,0.366666667,,,
59117.js,0.8,0.191780822,0.325581395,,,
59156.js,0.851851852,0.14084507,0.4,,,
59164.js,0.787878788,0.094117647,0.205128205,,,
59261.js,0.777777778,0.228346457,0.358024691,,,
59294.js,0.857142857,0.105263158,0.256410256,,,
59309.js,0.8,0.154929577,0.523809524,,,
6010.js,0.3125,0.015873016,0.058823529,,,
60275.js,0.714285714,0.038461538,0.285714286,,,
60326.js,0.5,0.04,0.5,,,
60393.js,1,0.089285714,0.5,,,
60544.js,0.576923077,0.092783505,0.257142857,,,
60820.js,0.714285714,0.081967213,0.333333333,,,
60881.js,0.648648649,0.113207547,0.25,,,
60966.js,1,0.311688312,0.75,,,
61022.js,0.740740741,0.202531646,0.533333333,,,
61136.js,0,0,0,,,
61201.js,0.652173913,0.077777778,0.194444444,,,
61443.js,0.8,0.107142857,0.6,,,
61603.js,0.875,0.14516129,0.5625,,,
61642.js,1,0.06122449,1,,,
61733.js,1,0.040816327,0.666666667,,,
61748.js,0.666666667,0.054545455,0.428571429,,,
61757.js,1,0.056603774,0.428571429,,,
61844.js,1,0.080645161,0.555555556,,,
61902.js,1,0.057692308,0.5,,,
61980.js,1,0.151785714,0.414634146,,,
61999.js,0.941176471,0.129032258,0.470588235,,,
62048.js,1,0.094339623,0.714285714,,,
62225.js,0.307692308,0.060240964,0.208333333,,,
6233.js,0.15,0.011904762,0.04,,,
62461.js,1,0.058823529,0.6,,,
62703.js,0.65,0.141025641,0.5,,,
62758.js,0.818181818,0.090909091,0.428571429,,,
6279.js,0.027027027,0.032786885,0.25,,,
62860.js,0.555555556,0.127906977,0.3125,,,
62996.js,0.585106383,0.121428571,0.248175182,,,
63048.js,0.5,0.034285714,0.4,,,
63155.js,1,0.122807018,0.5,,,
63163.js,1,0.041666667,1,,,
63189.js,0.5,0.001367054,0.444444444,,,
6329.js,0.214285714,0.014084507,0.058823529,,,
63316.js,0.363636364,0.066666667,0.333333333,,,
634.js,0.5,0.016129032,0.125,,,
63436.js,1,0.112903226,0.538461538,,,
63628.js,0.72,0.139240506,0.379310345,,,
63698.js,0.941176471,0.126582278,0.555555556,,,
6370.js,0.181818182,0.015625,0.071428571,,,
63735.js,0.571428571,0.03030303,0.181818182,,,
63757.js,1,0.138461538,0.473684211,,,
63886.js,1,0.058823529,0.5,,,
63991.js,0.8,0.096774194,0.461538462,,,
64206.js,0.25,0.033898305,0.25,,,
6422.js,0.181818182,0.016393443,0.083333333,,,
64381.js,0.5,0.036363636,0.285714286,,,
64486.js,0.333333333,0.0625,0.263157895,,,
64731.js,0.368421053,0.085714286,0.285714286,,,
64890.js,0.571428571,0.095744681,0.230769231,,,
64988.js,0.8,0.15942029,0.733333333,,,
65234.js,0.722222222,0.101449275,0.35,,,
65290.js,0.833333333,0.109375,0.5,,,
65321.js,0.722222222,0.088235294,0.285714286,,,
65545.js,0.657894737,0.055555556,0.098591549,,,
65949.js,0.894736842,0.147058824,0.5,,,
66225.js,0.552631579,0.073446328,0.144444444,,,
66377.js,0.75,0.084745763,0.357142857,,,
66394.js,0.857142857,0.090909091,0.4,,,
66479.js,0.336283186,0.006564551,0.022556391,,,
66894.js,0.7,0.063492063,0.333333333,,,
67717.js,0.8,0.035714286,0.2,,,
67894.js,0.666666667,0.056603774,0.5,,,
67918.js,0.666666667,0.056603774,0.5,,,
6806.js,0.875,0.147540984,0.5625,,,
68139.js,0.5,0.05,0.25,,,
68297.js,0.666666667,0.070175439,0.428571429,,,
68706.js,0.777777778,0.055555556,0.166666667,,,
68856.js,1,0.074074074,0.571428571,,,
69433.js,0.428571429,0.018518519,0.125,,,
69578.js,0.666666667,0.069444444,0.227272727,,,
69705.js,0.428571429,0.018518519,0.125,,,
70158.js,1,0.06779661,0.4,,,
