FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
10007.js,0.4338235294117647,0.43589223723721005,0.6272288912583204,0.5788077248559673
100516.js,0.54915531079096,0.4940983520393731,0.5498113458084207,0.6388623399969979
100691.js,0.4297636949338188,0.3762333183465121,0.5160661630703737,0.5886901361934788
100896.js,0.5479944475976151,0.4528487857140193,0.4570269739786432,0.5768299699
101009.js,1.0,0.19462473604038075,0.3752933125204008,1.0
101261.js,0.4096266733795683,0.3618855892981476,0.3567002715962281,0.5518518105610333
101576.js,1.0,1.0,1.0,1.0
102055.js,0.2102353324910547,0.19900743804199786,0.6123724356957946,0.7826237921249264
102202.js,0.1889822365046136,0.17631812981527,0.7216878364870323,0.7216878364870323
104155.js,0.3650942876334266,0.33081081854342315,0.510527470242631,0.6047078979069521
104250.js,0.5218865252122433,0.4162801964860655,0.42085199348037344,0.5407650988831487
104333.js,0.5615133416826303,0.4409505482467614,0.4738066970035767,0.6271686024032579
104359.js,0.5370224368241068,0.4578273535594224,-1.0,0.5774388894547795
104431.js,0.5877002397338558,0.5079635174749383,0.5255227762706548,0.6237938490344254
104510.js,0.6551054036254625,0.4647964121767881,0.476263034249636,0.6747368690610746
11062.js,0.6658349131346742,0.5878538776275501,0.6369412225912846,0.7605615515607493
1111.js,0.592598313923154,0.52230061024389,0.6681830074676633,0.7452413135250994
1115.js,0.5188572589322774,0.4837438342408014,0.4136538529815179,0.4828582280160388
11429.js,0.4976917423179623,0.4782278706466677,0.6039868454933643,0.6484855122483151
1225.js,0.6058389854656864,0.5451125517444411,0.5890629701620008,0.6827180049382298
1255.js,0.5605869109792716,0.4544565881883851,0.528429301251276,0.7180617249077063
12627.js,0.5821822356407036,0.5301216100817044,0.634254957405895,0.6881123757766691
1281.js,0.5962324174563287,0.5092683708246454,0.5203623692247205,0.608966250258143
13025.js,0.4698436867388789,0.3962720528736322,0.6223784555853381,0.8590539918613641
13048.js,0.43372665571900015,0.36217963646349016,0.6529286250990105,0.9048645778823592
13070.js,0.959166304662544,0.28284271247461895,0.4961389383568338,0.959166304662544
13134.js,0.4331988820450877,0.35341536466937484,0.4265529343797823,0.7489308618940975
13201.js,0.4215209158816409,0.3695926132427344,0.5511070751355519,0.6506195976189627
13312.js,0.3772808497506149,0.3523084048404354,0.4857682773752858,0.5990422978731538
13476.js,0.3319911746852412,0.3195175377505382,0.6864064729836441,0.7063064336961281
13501.js,0.3451183851258305,0.3166127725707856,0.6864064729836441,0.7063064336961281
13522.js,0.3396831102433787,0.31589887589559384,0.6864064729836441,0.6864064729836441
13554.js,1.0,1.0,1.0,1.0
13560.js,0.4566296511374095,0.3599308999001921,0.4806805852526056,0.6506683853846716
13693.js,0.4558188839518572,0.4435524480514142,0.8326739387426164,0.8651809126974002
138.js,0.6103065421607243,0.545895903027294,0.5942556782572574,0.6930222435846859
1407.js,0.4892901935485829,0.4651087840034216,0.4902648365990073,0.5183411879910561
14959.js,1.0,1.0,1.0,1.0
14977.js,1.0,0.4522670168666454,0.4522670168666454,1.0
15193.js,1.0,1.0,1.0,1.0
15741.js,1.0,1.0,1.0,1.0
15783.js,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1616.js,0.5784419843427032,0.5169515184340335,0.5380905359300854,0.6062841508772326
17034.js,1.0,1.0,1.0,1.0
17041.js,1.0,1.0,1.0,1.0
17294.js,0.6384423980690614,0.18398330652094835,0.2561358820277077,0.6384423980690614
17302.js,1.0,1.0,1.0,1.0
17569.js,0.101418510567422,0.12344267996967355,1.0,0.6761234037828132
18831.js,0.4941264082386228,0.4078624484775384,0.5090278103806222,0.6595027802594725
18884.js,0.5063033103498311,0.4543556144588112,0.5837823967819283,0.6976532089799344
18887.js,0.5114809706645144,0.43650732392664976,0.5189394449518459,0.6804727251769879
19194.js,0.382028723980208,0.34124966674853496,0.6285393610547089,0.9629629629629628
19199.js,0.6611893494121082,0.4466468825771256,0.5189417233780385,0.8525206472344534
19742.js,1.0,1.0,1.0,1.0
19764.js,0.5138665425277382,0.4963099126672413,0.6519456811446811,0.7465089026901592
1988.js,0.4969124919176444,0.481614641307647,0.5178312794598465,0.5513179784348925
19942.js,0.4936572484949418,0.4895604370122276,0.8145175434150821,0.8259099504401415
19970.js,0.4537093826396549,0.42155733940829815,0.5662313721553172,0.635998728003816
19974.js,0.4912653423781008,0.4688620223704167,0.5885488788398021,0.6120401995159958
20055.js,0.4385134366138728,0.4418737419740552,0.6349812749303676,0.6273764344284781
20087.js,0.5125923504634571,0.4737891701652908,0.7671455149152694,0.7466846138618736
20278.js,1.0,1.0,1.0,1.0
20351.js,0.3263807066703995,0.2715618150587327,0.4573419124593349,0.7519206177414045
20358.js,0.3357595683439085,0.28292131264633896,0.40389034790078,0.8224396186997113
20447.js,0.3337190750506053,0.31013193673309136,0.608511063404532,0.608511063404532
20458.js,0.37968989510078377,0.3196013860502965,0.4958212060550453,0.634795895148782
