FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
10007.js,0.4338235294117647,0.43589223723721,0.6272288912583204,0.5788077248559673
100111.js,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0,-1.0
100516.js,0.54915531079096,0.4940983520393731,0.5498113458084207,0.638862339996998
100601.js,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0
100691.js,0.42976369493381883,0.3762333183465121,0.5160661630703737,0.5886901361934788
10085.js,-1.0,-1.0,-1.0,-1.0
100896.js,0.5479944475976151,0.4528487857140193,0.4570269739786432,0.5768299699
101009.js,1.0,0.19462473604038075,0.37529331252040077,1.0
101261.js,0.4096266733795683,0.36188558929814757,0.35670027159622814,0.5518518105610333
101576.js,1.0,1.0,1.0,1.0
101611.js,-1.0,-1.0,-1.0,-1.0
102055.js,0.2102353324910547,0.19900743804199783,0.6123724356957946,0.7826237921249264
102202.js,0.1889822365046136,0.17631812981527,0.7216878364870323,0.7216878364870323
104155.js,0.3650942876334266,0.33081081854342315,0.510527470242631,0.6047078979069521
104250.js,0.5218865252122433,0.41628019648606546,0.42085199348037344,0.5407650988831487
104310.js,-1.0,-1.0,-1.0,-1.0
104333.js,0.5615133416826303,0.4409505482467614,0.4738066970035767,0.627168602403258
104359.js,0.5370224368241068,0.4578273535594224,-1.0,0.5774388894547795
104431.js,0.5877002397338558,0.5079635174749383,0.5255227762706548,0.6237938490344254
104510.js,0.6551054036254625,0.46479641217678813,0.476263034249636,0.6747368690610746
10485.js,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0
11062.js,0.6658349131346742,0.5878538776275501,0.6369412225912846,0.7605615515607493
1111.js,0.592598313923154,0.52230061024389,0.6681830074676633,0.7452413135250994
1115.js,0.5188572589322774,0.48374383424080136,0.413653852981518,0.4828582280160388
11216.js,-1.0,-1.0,-1.0,-1.0
11245.js,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0,-1.0
11429.js,0.49769174231796226,0.4782278706466677,0.6039868454933643,0.6484855122483151
1225.js,0.6058389854656864,0.545112551744441,0.5890629701620008,0.6827180049382298
12339.js,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0
1255.js,0.5605869109792716,0.4544565881883851,0.528429301251276,0.7180617249077063
12627.js,0.5821822356407036,0.5301216100817044,0.634254957405895,0.6881123757766691
1263.js,-1.0,-1.0,-1.0,-1.0
1281.js,0.5962324174563287,0.5092683708246454,0.5203623692247205,0.608966250258143
13025.js,0.4698436867388789,0.3962720528736322,0.6223784555853381,0.8590539918613641
13048.js,0.43372665571900015,0.36217963646349016,0.6529286250990105,0.9048645778823592
13070.js,0.9591663046625439,0.282842712474619,0.49613893835683387,0.9591663046625439
13131.js,0.3576408488192953,0.33166247903553997,0.6177432843242373,-1.0
13134.js,0.43319888204508766,0.35341536466937484,0.4265529343797823,0.7489308618940975
13201.js,0.42152091588164103,0.36959261324273435,0.5511070751355519,0.6506195976189627
13312.js,0.3772808497506149,0.3523084048404354,0.48576827737528583,0.5990422978731538
13476.js,0.3319911746852412,0.3195175377505382,0.6864064729836441,0.7063064336961281
13501.js,0.3451183851258305,0.31661277257078557,0.6864064729836441,0.7063064336961281
13522.js,0.3396831102433787,0.31589887589559384,0.6864064729836441,0.6864064729836441
13554.js,1.0,1.0,1.0,1.0
13560.js,0.4566296511374095,0.35993089990019206,0.4806805852526056,0.6506683853846716
1363.js,-1.0,-1.0,-1.0,-1.0
13693.js,0.45581888395185716,0.4435524480514142,0.8326739387426164,0.8651809126974002
138.js,0.6103065421607243,0.545895903027294,0.5942556782572574,0.6930222435846859
1407.js,0.4892901935485829,0.46510878400342154,0.4902648365990073,0.5183411879910561
14959.js,1.0,1.0,1.0,1.0
14977.js,1.0,0.45226701686664544,0.45226701686664544,1.0
15193.js,1.0,1.0,1.0,1.0
15741.js,1.0,1.0,1.0,1.0
15783.js,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1590.js,0.5994533232787619,0.5524184321323491,-1.0,-1.0
1616.js,0.5784419843427032,0.5169515184340335,0.5380905359300854,0.6062841508772326
1689.js,-1.0,-1.0,-1.0,-1.0
17034.js,1.0,1.0,1.0,1.0
17041.js,1.0,1.0,1.0,1.0
17294.js,0.6384423980690614,0.18398330652094833,0.2561358820277077,0.6384423980690614
17302.js,1.0,1.0,1.0,1.0
17395.js,-1.0,-1.0,-1.0,-1.0
17569.js,0.10141851056742199,0.12344267996967354,1.0,0.6761234037828132
1798.js,-1.0,-1.0,-1.0,-1.0
1804.js,-1.0,-1.0,-1.0,-1.0
1836.js,-1.0,-1.0,-1.0,-1.0
18831.js,0.49412640823862275,0.40786244847753844,0.5090278103806222,0.6595027802594725
18884.js,0.5063033103498311,0.4543556144588112,0.5837823967819283,0.6976532089799344
18887.js,0.5114809706645144,0.43650732392664976,0.5189394449518459,0.6804727251769879
1891.js,-1.0,-1.0,-1.0,-1.0
19194.js,0.382028723980208,0.341249666748535,0.6285393610547089,0.9629629629629629
19199.js,0.6611893494121082,0.4466468825771256,0.5189417233780385,0.8525206472344534
19250.js,-1.0,-1.0,-1.0,-1.0
19689.js,-1.0,-1.0,-1.0,-1.0
19742.js,1.0,1.0,1.0,1.0
19764.js,0.5138665425277382,0.4963099126672413,0.6519456811446811,0.7465089026901592
1988.js,0.4969124919176444,0.48161464130764703,0.5178312794598465,0.5513179784348925
19942.js,0.49365724849494175,0.4895604370122276,0.814517543415082,0.8259099504401415
19970.js,0.4537093826396549,0.42155733940829815,0.5662313721553172,0.635998728003816
19974.js,0.4912653423781008,0.4688620223704167,0.5885488788398021,0.6120401995159958
20055.js,0.4385134366138728,0.44187374197405516,0.6349812749303676,0.6273764344284781
20087.js,0.512592350463457,0.47378917016529076,0.7671455149152694,0.7466846138618736
20200.js,-1.0,-1.0,-1.0,-1.0
2023.js,-1.0,-1.0,-1.0,-1.0
20278.js,1.0,1.0,1.0,1.0
20351.js,0.3263807066703995,0.27156181505873267,0.4573419124593349,0.7519206177414045
20358.js,0.33575956834390847,0.282921312646339,0.40389034790078004,0.8224396186997113
2039.js,-1.0,-1.0,-1.0,-1.0
20447.js,0.33371907505060533,0.31013193673309136,0.608511063404532,0.608511063404532
20458.js,0.37968989510078377,0.31960138605029653,0.49582120605504526,0.634795895148782
20473.js,0.37417352592858233,0.2980540977541438,0.4220534530833175,0.6487491201346025
20481.js,0.3504998186163908,0.3336424046406527,0.4885042104591972,0.5276448530110863
20524.js,0.3287610565978418,0.3019298199277709,0.6577935144802719,0.6577935144802719
20688.js,0.4676380012435252,0.45169470114724225,0.6054758337222674,0.6314040674128691
2096.js,-1.0,-1.0,-1.0,-1.0
21.js,0.5266972292480777,0.5286568887912632,0.5305537993786001,0.5315127093205839
2101.js,-1.0,-1.0,-1.0,-1.0
21166.js,0.4679370666965094,0.4517471324735921,0.8551110042132816,0.840492644913007
2122.js,-1.0,-1.0,-1.0,-1.0
2125.js,-1.0,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0,-1.0
21552.js,0.4236093433535166,0.39243640270526536,0.6520393235864732,0.6520393235864732
21674.js,0.2193817272381392,0.2080125735844609,0.8040302522073697,0.8040302522073697
21744.js,0.2603778219616477,0.23145502494313785,0.5773502691896257,0.8486684247915055
21789.js,0.22360679774997896,0.21821789023599236,0.8040302522073697,0.8040302522073697
218.js,0.6979734738536546,0.5848336035539382,0.6114977133548253,0.7491463540698073
21808.js,0.23284515771189987,0.21320071635561041,0.8040302522073697,0.8040302522073697
22074.js,0.48364246567281094,0.47296062867050725,0.6272925433634212,0.6334307917217433
22080.js,0.49137331423993574,0.4830562117099593,0.6960115361312843,0.7100837803370506
22366.js,0.4328225498697881,0.4057145436492438,0.715581398296974,0.7278144450826871
22499.js,0.4800153607373193,0.45950374864049015,0.6573492427977321,0.699259856097678
22516.js,0.5187557724858725,0.5009020894156835,0.6700914726605537,0.6649293550088461
22586.js,0.442939211093979,0.3878987617119057,0.6210590034081188,0.7418318309487705
22601.js,0.46825245223363227,0.44662980013443065,0.6834301871819679,0.6553801504889959
23434.js,0.8703882797784892,0.3144140727612662,0.4402254531628119,0.8703882797784892
23633.js,-1.0,-1.0,-1.0,-1.0
23660.js,1.0,0.5103103630798288,0.5103103630798288,1.0
23866.js,1.0,0.5103103630798288,0.5103103630798288,1.0
23895.js,1.0,0.5103103630798288,0.5103103630798288,1.0
23938.js,0.9797958971132713,0.7462185372015077,0.6324555320336759,0.6324555320336759
24171.js,1.0,1.0,1.0,1.0
24176.js,0.34977965041189135,0.3293501744756828,0.917463421851129,-1.0
24270.js,0.5782873088397665,0.5045869848981968,0.5526958280435147,0.709412570288236
24292.js,0.25699812243379877,0.27031025295064476,0.3941203906840411,0.3192211990345307
24340.js,0.2458445859472208,0.23629973222959152,0.3692744729379982,0.8181818181818182
24347.js,0.37037555468977446,0.360537469000769,0.6073937153988942,0.6073937153988942
24371.js,0.3540141667442247,0.3370361710776118,0.4297588526078306,0.4811252243246881
24432.js,0.5820855000871991,0.44556639433950346,0.6040686963408963,0.7448452997421311
24438.js,0.48801561674960797,0.4513702962229503,0.581470418729523,0.669042329269638
24506.js,0.3641382774206427,0.32954102182865386,0.8718127501157389,0.9583333333333334
24615.js,0.4756363960460635,0.40206805453677713,0.5519037064102987,0.8280086818880266
24860.js,0.5507835008603895,0.4682651738968304,0.5067069653814235,0.6290245103533908
24862.js,0.5520176648479173,0.43767775825804395,0.4696462739607978,0.6212382261834989
24907.js,0.6302421069590115,0.5164753761418319,0.5285352905124228,0.6486214706721323
24913.js,0.4908790553924815,0.4016778378213112,0.44279420976793193,0.5853507195673464
2496.js,0.20739033894608505,0.2,0.472455591261534,0.472455591261534
24988.js,-1.0,-1.0,-1.0,-1.0
25001.js,-1.0,-1.0,-1.0,-1.0
