FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
2023.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20278.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
20351.js,1.0,0.0,1.0,0.3333333333333333,-1.0,0.0
20358.js,1.5,0.0,2.0,1.0,-1.0,0.0
2039.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20447.js,0.0,-1.0,0.0,3.0,0.0,-1.0
20458.js,3.0,0.0,4.0,3.0,-1.0,0.0
20473.js,3.0,0.0,4.0,3.0,-1.0,0.0
20481.js,3.0,0.0,4.0,3.0,-1.0,0.0
20524.js,3.0,0.0,4.0,3.0,-1.0,0.0
20688.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
2096.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21.js,1.5,0.0,1.0,1.0,-1.0,0.0
2101.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21166.js,1.0,0.0,1.0,0.3333333333333333,-1.0,-1.0
2122.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2125.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21552.js,1.5,0.0,2.0,1.0,-1.0,0.0
21674.js,3.0,0.0,4.0,3.0,-1.0,0.0
21744.js,3.0,0.0,4.0,3.0,-1.0,0.0
21789.js,3.0,0.0,4.0,3.0,-1.0,0.0
218.js,0.375,0.0,1.0,0.5,-1.0,-1.0
21808.js,3.0,0.0,4.0,3.0,-1.0,0.0
22074.js,3.0,0.0,4.0,3.0,-1.0,0.0
22080.js,3.0,0.0,4.0,3.0,-1.0,0.0
22366.js,3.0,0.0,4.0,3.0,-1.0,0.0
22499.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
22516.js,1.5,0.0,1.0,1.0,-1.0,0.0
22586.js,3.0,0.0,4.0,3.0,-1.0,0.0
22601.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
23434.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
23633.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23660.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
23866.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
23895.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
23938.js,0.0,-1.0,1.0,0.0,-1.0,-1.0
24171.js,0.0,-1.0,1.0,1.0,-1.0,-1.0
24176.js,0.0,-1.0,1.0,1.0,-1.0,-1.0
24270.js,0.2,0.0,0.26666666666666666,0.7333333333333333,-1.0,0.0
24292.js,0.375,0.0,0.5,0.5,-1.0,0.0
24340.js,0.0,-1.0,0.0,0.3333333333333333,0.3333333333333333,-1.0
24347.js,0.75,0.0,1.0,0.0,-1.0,0.0
24371.js,0.5,0.0,0.8333333333333334,0.3333333333333333,-1.0,-1.0
24432.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
24438.js,0.375,0.0,0.5,0.5,-1.0,0.0
24506.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
24615.js,0.75,0.0,1.0,0.0,-1.0,-1.0
24860.js,3.0,0.0,4.0,3.0,-1.0,-1.0
24862.js,3.0,0.0,1.0,3.0,-1.0,-1.0
24907.js,0.6,0.0,0.8,0.2,-1.0,-1.0
24913.js,1.5,0.0,2.0,1.0,-1.0,0.0
2496.js,3.0,0.0,4.0,3.0,-1.0,0.0
24988.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25001.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26383.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26398.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26541.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2656.js,0.6,0.0,0.8,0.2,-1.0,0.0
27178.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27258.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27353.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27441.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27443.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28688.js,0.375,0.0,0.5,0.5,-1.0,0.0
28808.js,0.375,0.0,0.5,0.5,-1.0,0.0
29258.js,0.375,0.0,0.5,0.5,-1.0,0.0
29491.js,0.2727272727272727,0.0,1.0,0.6363636363636364,-1.0,0.0
29533.js,0.375,0.0,0.5,0.5,-1.0,0.0
29651.js,0.375,0.0,0.5,0.5,-1.0,0.0
29913.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30403.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3062.js,3.0,0.0,4.0,3.0,-1.0,0.0
30876.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30894.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
320.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32279.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32369.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32556.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32745.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32843.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32846.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33031.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3354.js,3.0,0.0,4.0,3.0,-1.0,0.0
337.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34209.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34522.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34526.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34553.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34631.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34651.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34903.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34947.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35829.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36516.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3659.js,3.0,0.0,4.0,3.0,-1.0,0.0
3718.js,3.0,0.0,4.0,3.0,-1.0,0.0
37277.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37699.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38411.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38607.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38617.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38815.js,0.375,0.0,0.5,0.5,-1.0,0.0
38970.js,0.375,0.0,0.5,0.5,-1.0,0.0
39287.js,0.2727272727272727,0.0,1.0,0.6363636363636364,-1.0,0.0
4041.js,3.0,0.0,4.0,3.0,-1.0,-1.0
40486.js,0.375,0.0,0.5,0.5,-1.0,0.0
4075.js,3.0,0.0,1.0,3.0,-1.0,-1.0
4089.js,3.0,0.0,4.0,3.0,-1.0,0.0
41351.js,0.375,0.0,0.5,0.5,-1.0,0.0
4139.js,3.0,0.0,1.0,3.0,-1.0,-1.0
4165.js,3.0,0.0,1.0,3.0,-1.0,-1.0
41759.js,0.375,0.0,0.5,0.5,-1.0,0.0
42622.js,0.375,0.0,0.5,0.5,-1.0,0.0
42722.js,0.375,0.0,0.5,0.5,-1.0,0.0
42892.js,0.375,0.0,0.5,0.5,-1.0,0.0
4307.js,0.6,0.0,0.8,0.2,-1.0,0.0
43149.js,0.2727272727272727,0.0,1.0,0.6363636363636364,-1.0,0.0
43898.js,0.375,0.0,0.5,0.5,-1.0,0.0
44169.js,0.375,0.0,0.5,0.5,-1.0,0.0
44354.js,0.2727272727272727,0.0,1.0,0.6363636363636364,-1.0,0.0
44431.js,0.375,0.0,0.5,0.5,-1.0,0.0
44471.js,0.375,0.0,0.5,0.5,-1.0,0.0
44575.js,0.375,0.0,0.5,0.5,-1.0,0.0
44685.js,0.375,0.0,0.5,0.5,-1.0,0.0
448.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45063.js,0.375,0.0,0.5,0.5,-1.0,0.0
45107.js,0.375,0.0,0.5,0.5,-1.0,0.0
45220.js,0.375,0.0,0.5,0.5,-1.0,0.0
45324.js,0.375,0.0,0.5,0.5,-1.0,0.0
45485.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45491.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45493.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45502.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45505.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45510.js,0.75,0.0,1.0,0.0,-1.0,-1.0
45545.js,3.0,0.0,4.0,3.0,-1.0,0.0
45639.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45681.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45730.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46432.js,1.5,0.0,2.0,1.0,-1.0,0.0
4676.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,-1.0
4677.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,-1.0
46860.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4698.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
471.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47250.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
473.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47409.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4764.js,0.10714285714285714,0.0,1.0,0.8571428571428571,-1.0,-1.0
4861.js,0.375,0.0,1.0,0.5,-1.0,0.0
48748.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
48769.js,0.5,0.0,-1.0,0.3333333333333333,-1.0,0.0
48940.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
490.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49416.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4945.js,1.0,0.0,1.0,0.3333333333333333,-1.0,0.0
49662.js,3.0,0.0,4.0,3.0,-1.0,0.0
49663.js,3.0,0.0,4.0,3.0,-1.0,0.0
49711.js,3.0,0.0,1.0,3.0,-1.0,-1.0
49847.js,0.375,0.0,1.0,0.5,-1.0,0.0
4998.js,1.5,0.0,5.0,1.0,-1.0,-1.0
50055.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50084.js,3.0,0.0,4.0,3.0,-1.0,-1.0
50130.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50145.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50198.js,3.0,0.0,4.0,3.0,-1.0,-1.0
50341.js,1.5,0.0,2.0,1.0,-1.0,0.0
50345.js,1.5,0.0,2.0,1.0,-1.0,0.0
50370.js,1.5,0.0,1.0,1.0,-1.0,0.0
50382.js,1.5,0.0,2.0,1.0,-1.0,0.0
50402.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50435.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50441.js,3.0,0.0,1.0,3.0,-1.0,-1.0
50453.js,3.0,0.0,1.0,3.0,-1.0,0.0
50524.js,3.0,0.0,4.0,3.0,-1.0,0.0
50529.js,3.0,0.0,4.0,3.0,-1.0,0.0
50552.js,3.0,0.0,4.0,3.0,-1.0,0.0
50562.js,3.0,0.0,4.0,3.0,-1.0,0.0
50570.js,3.0,0.0,4.0,3.0,-1.0,0.0
50600.js,1.0,0.0,1.0,0.3333333333333333,-1.0,-1.0
50605.js,3.0,0.0,4.0,3.0,-1.0,0.0
