name,t1,t2,t3,t4,t5,t6
97999.js-ob.js,0.08719301223754883,0.07906293869018555,0.1541762351989746,0.07959985733032227,0.07548308372497559,0.13888788223266602
39463.js-ob.js,0.09128928184509277,0.08091092109680176,0.1590869426727295,0.07788705825805664,0.08144092559814453,0.14055109024047852
99044.js-ob.js,0.10611200332641602,0.11249303817749023,0.20221495628356934,0.09261107444763184,0.10155391693115234,0.16291499137878418
62758.js-ob.js,0.1029818058013916,0.09199738502502441,0.2112419605255127,0.09080290794372559,0.08514189720153809,0.15271806716918945
24862.js-ob.js,0.0935211181640625,0.10570192337036133,0.18269705772399902,0.09165191650390625,0.0908350944519043,0.16319990158081055
82246.js-ob.js,0.08441805839538574,0.08631491661071777,0.16251802444458008,0.07947707176208496,0.08138704299926758,0.14689087867736816
10398.js-ob.js,0.08206391334533691,0.08516597747802734,0.1608748435974121,0.08010339736938477,0.07728099822998047,0.14193081855773926
44333.js-ob.js,0.09063410758972168,0.08334779739379883,0.15964007377624512,0.0795431137084961,0.08207321166992188,0.13930177688598633
42466.js-ob.js,0.08144378662109375,0.08052420616149902,0.16209983825683594,0.07750916481018066,0.0866398811340332,0.14023399353027344
19970.js-ob.js,0.09263086318969727,0.08204221725463867,0.1624157428741455,0.07821106910705566,0.08234119415283203,0.13878488540649414
87389.js-ob.js,0.09923791885375977,0.08747100830078125,0.1692061424255371,0.07940793037414551,0.08002805709838867,0.1445777416229248
38815.js-ob.js,0.09113121032714844,0.0892338752746582,0.16208314895629883,0.08190584182739258,0.07997608184814453,0.18846607208251953
98791.js-ob.js,0.0922238826751709,0.10015010833740234,0.18691706657409668,0.09188199043273926,0.0909268856048584,0.16901922225952148
15580.js-ob.js,0.07675600051879883,0.07315993309020996,0.14917612075805664,0.07159185409545898,0.07437515258789062,0.1459650993347168
84966.js-ob.js,0.10308289527893066,0.10165023803710938,0.17788076400756836,0.08581709861755371,0.08641791343688965,0.20181608200073242
88026.js-ob.js,0.1305689811706543,0.18719100952148438,0.25826406478881836,0.12877202033996582,0.13170814514160156,0.20795965194702148
98983.js-ob.js,0.09370708465576172,0.09540510177612305,0.17495489120483398,0.0854940414428711,0.08659005165100098,0.1562809944152832
13575.js-ob.js,0.08421182632446289,0.08551812171936035,0.16294002532958984,0.08929705619812012,0.0870048999786377,0.14580726623535156
44122.js-ob.js,0.08333802223205566,0.0878441333770752,0.17942190170288086,0.11000704765319824,0.08355212211608887,0.14538192749023438
86969.js-ob.js,0.09585285186767578,0.10531115531921387,0.19763875007629395,0.09377002716064453,0.0948951244354248,0.1638479232788086
29294.js-ob.js,0.08559465408325195,0.0934150218963623,0.2008991241455078,0.0916438102722168,0.0842742919921875,0.20569276809692383
81439.js-ob.js,0.09875011444091797,0.09500789642333984,0.17384123802185059,0.08272075653076172,0.08151102066040039,0.15511107444763184
54815.js-ob.js,0.08599710464477539,0.08651494979858398,0.16379904747009277,0.08431410789489746,0.11104989051818848,0.14884591102600098
59534.js-ob.js,0.08260202407836914,0.08102893829345703,0.1612110137939453,0.07927894592285156,0.07836318016052246,0.13944792747497559
94051.js-ob.js,0.2917599678039551,0.9516568183898926,0.6647791862487793,0.27794599533081055,0.30087876319885254,0.42322826385498047
2324.js-ob.js,0.0825037956237793,0.08834314346313477,0.1658940315246582,0.08125090599060059,0.08058619499206543,0.16939282417297363
61201.js-ob.js,0.09316706657409668,0.09392309188842773,0.17633891105651855,0.08738589286804199,0.0877840518951416,0.17464208602905273
15361.js-ob.js,0.09265804290771484,0.08252525329589844,0.1638798713684082,0.08284378051757812,0.07937836647033691,0.14820480346679688
19847.js-ob.js,0.09404206275939941,0.0820770263671875,0.15766596794128418,0.08829402923583984,0.0768740177154541,0.14745402336120605
85776.js-ob.js,0.08658599853515625,0.08639001846313477,0.16821789741516113,0.08570003509521484,0.07977914810180664,0.15029096603393555
101606.js-ob.js,0.08627486228942871,0.0722501277923584,0.14460492134094238,0.07639193534851074,0.07100892066955566,0.13485217094421387
83022.js-ob.js,0.0892019271850586,0.0912160873413086,0.17451906204223633,0.08571767807006836,0.08455324172973633,0.1712789535522461
91677.js-ob.js,0.08408617973327637,0.08597874641418457,0.16359400749206543,0.07979917526245117,0.08379793167114258,0.14655303955078125
57698.js-ob.js,0.08422398567199707,0.08203601837158203,0.23607707023620605,0.08080792427062988,0.07826614379882812,0.1420450210571289
79827.js-ob.js,0.08270001411437988,0.08654522895812988,0.1589348316192627,0.0810689926147461,0.07919526100158691,0.15982985496520996
59029.js-ob.js,0.08038711547851562,0.08135819435119629,0.15856575965881348,0.07836508750915527,0.07844996452331543,0.1390540599822998
23895.js-ob.js,0.0737912654876709,0.07417774200439453,0.145064115524292,0.07370615005493164,0.07156181335449219,0.13375496864318848
29474.js-ob.js,0.0819101333618164,0.08097004890441895,0.15889382362365723,0.0781850814819336,0.07800102233886719,0.14320683479309082
99032.js-ob.js,0.10864019393920898,0.1442568302154541,0.21392512321472168,0.10605573654174805,0.10888218879699707,0.18233513832092285
69578.js-ob.js,0.08585810661315918,0.08489775657653809,0.1651020050048828,0.08619499206542969,0.0837550163269043,0.1483912467956543
51297.js-ob.js,0.08605384826660156,0.09259891510009766,0.1751420497894287,0.08380508422851562,0.08649802207946777,0.15047311782836914
28688.js-ob.js,0.08845090866088867,0.08328413963317871,0.15951800346374512,0.08094000816345215,0.08069992065429688,0.14402508735656738
60393.js-ob.js,0.08328890800476074,0.08041810989379883,0.1608271598815918,0.07785582542419434,0.07538890838623047,0.1421220302581787
71032.js-ob.js,0.08218598365783691,0.07990336418151855,0.16140079498291016,0.07653284072875977,0.07672309875488281,0.137253999710083
104155.js-ob.js,0.08606314659118652,0.08249998092651367,0.15932869911193848,0.0771331787109375,0.07703590393066406,0.14287590980529785
83941.js-ob.js,0.16289019584655762,0.29929089546203613,0.3394739627838135,0.1582472324371338,0.1664137840270996,0.453754186630249
101009.js-ob.js,0.08128094673156738,0.08203601837158203,0.16360902786254883,0.07629799842834473,0.07749199867248535,0.14077401161193848
17034.js-ob.js,0.08838415145874023,0.07368803024291992,0.1410820484161377,0.07260704040527344,0.0681159496307373,0.13033699989318848
28976.js-ob.js,0.0836029052734375,0.08403897285461426,0.16137099266052246,0.08718085289001465,0.0792691707611084,0.1470201015472412
