FileName,jsjiami_unweighted,jsjiami_recover_unweighted
100691.js,0.267058387050626,0.9148936170212766
100896.js,0.39703253529313504,0.8309729975105054
101009.js,0.12793206052938005,0.6139406135149205
101223.js,0.11694106924093722,1.0
101529.js,0.1161495808278082,1.0
101709.js,0.13301364522388445,0.7267220926874316
101800.js,0.17194165290282745,0.9090909090909092
102055.js,0.116543309349613,1.0
102202.js,0.10144749970923668,1.0
102658.js,0.10144749970923668,1.0
102952.js,0.10144749970923668,1.0
103438.js,0.10144749970923668,1.0
103695.js,0.10144749970923668,1.0
10398.js,0.2591561422215784,0.7469879518072289
104116.js,0.4811878539446276,0.8242114261986958
104155.js,0.2091417699499352,0.875
11062.js,0.4825118426153148,0.8907121349249338
11427.js,0.5098180390096814,0.7760513735449092
11429.js,0.3405343771841112,0.8381065430018891
12224.js,0.2926594383029438,0.8345539714499836
13070.js,0.2009669677645352,1.0
13312.js,0.22335609907512333,0.8787878787878788
13575.js,0.3995796110241594,0.9035087719298246
13628.js,0.3730208981385397,0.7192982456140351
13749.js,0.07959171834405432,0.4447495899966607
138.js,0.4761726138587996,0.8567907988016599
1407.js,0.4922680315458181,0.7217016472683898
1460.js,0.3798061444331936,0.6380437452683623
1503.js,0.2964762084494222,0.8251950023250776
1587.js,0.41080228308078975,0.8282208588957055
1718.js,0.2902527832378425,0.763223966153332
17294.js,0.17018699970709428,0.3792913030681302
1732.js,0.20403828859501802,0.7560975609756098
17569.js,0.07415039977600647,1.0
1776.js,0.3086410793260533,0.8970588235294118
18831.js,0.3117525984985953,0.6249458180848926
18887.js,0.3262333888635727,0.7269996757416942
19732.js,0.21875736668406814,0.8965517241379308
19764.js,0.3197743565355802,0.8970588235294118
19765.js,0.15391121883271508,0.7857142857142857
19772.js,0.15399404294122154,0.875
19847.js,0.2836487953378741,0.7940510210053551
19912.js,0.2623488518766749,0.9183673469387756
19946.js,0.17634217592923318,1.0
19970.js,0.26750354589865,0.8979591836734694
19985.js,0.2812866888022655,0.8813559322033898
20050.js,0.15287997627302952,0.7857142857142857
20087.js,0.303623945037278,0.9152542372881356
20268.js,0.18181818181818185,0.9
20473.js,0.22061859933306036,0.5333964609104418
20524.js,0.18303234009578204,0.9
20564.js,0.11746905061969445,1.0
20750.js,0.20311111592559689,0.88
20837.js,0.2588158533262875,0.9285714285714286
21.js,0.5008732600093693,0.7343672761645904
21436.js,0.12350804543889275,0.7777777777777778
21552.js,0.2530993768337576,0.8043478260869565
21736.js,0.1279085650051217,0.5797509043642028
21946.js,0.2530574939378307,0.7824607964359516
22499.js,0.2981939411483213,0.8572508572512859
22516.js,0.35364072007233643,0.8710180970791641
2324.js,0.3223291856101521,0.8888888888888888
24270.js,0.4605732781121567,0.8750155014039855
24292.js,0.2262741699796952,0.8125
24913.js,0.3644276577390572,0.8417835891742346
2496.js,0.11694106924093722,1.0
2614.js,0.12309149097933275,1.0
2656.js,0.23436574429758614,0.9117647058823528
27598.js,0.3776240204225216,0.8548665088582426
27724.js,0.3446969696969697,0.8660254037844387
27838.js,0.3049728008872733,0.8824483667908929
27846.js,0.3031893189224432,0.8824483667908929
27880.js,0.3077080377164062,0.8824483667908929
27891.js,0.3058764259813489,0.8824483667908929
27902.js,0.3049728008872733,0.8824483667908929
28298.js,0.32756920994133026,0.8781140799175228
28473.js,0.3049728008872733,0.8824483667908929
28688.js,0.3058764259813489,0.8824483667908929
28808.js,0.3040771372765101,0.8824483667908929
28877.js,0.3049728008872733,0.8824483667908929
28976.js,0.3049728008872733,0.8824483667908929
29012.js,0.3058764259813489,0.8824483667908929
29132.js,0.3077080377164062,0.8824483667908929
29148.js,0.3363499860730087,0.8571946154145231
29213.js,0.3067881312103652,0.8824483667908929
29258.js,0.3049728008872733,0.8824483667908929
29294.js,0.3040771372765101,0.8824483667908929
29386.js,0.3049728008872733,0.8824483667908929
29408.js,0.3040771372765101,0.8824483667908929
29474.js,0.3040771372765101,0.8824483667908929
29533.js,0.3266372899592439,0.8781140799175228
29540.js,0.3067881312103652,0.8824483667908929
29567.js,0.3067881312103652,0.8824483667908929
29651.js,0.3058764259813489,0.8824483667908929
29704.js,0.3058764259813489,0.8824483667908929
2985.js,0.32452911878007223,1.0
3062.js,0.15137125538162835,1.0
3174.js,0.13495154882327706,1.0
3284.js,0.12920716240994554,1.0
3354.js,0.12350804543889275,1.0
3391.js,0.10910894511799618,1.0
3465.js,0.4091673262090823,1.0
3558.js,0.374696345049398,0.8867924528301887
3653.js,0.17052612684096136,1.0
3659.js,0.10910894511799618,1.0
3717.js,0.19112739302699866,1.0
3718.js,0.21081851067789195,1.0
3801.js,0.32749888626487245,1.0
3873.js,0.11694106924093722,1.0
38760.js,0.32756920994133026,0.8781140799175228
38786.js,0.3025285350226602,0.8824483667908929
38807.js,0.3320559910209471,0.8706484898697716
38815.js,0.3079393102313675,0.8824483667908929
38823.js,0.3077080377164062,0.8824483667908929
3884.js,0.14646550861729002,1.0
38872.js,0.3049728008872733,0.8824483667908929
38970.js,0.3049728008872733,0.8824483667908929
39025.js,0.3031893189224432,0.8824483667908929
3924.js,0.17334959899709632,0.9444444444444444
39278.js,0.3459425012870811,0.8600430032252687
39287.js,0.4537728163180689,0.795537731773687
39463.js,0.3058764259813489,0.8824483667908929
3949.js,0.12920716240994554,1.0
39563.js,0.3058764259813489,0.8824483667908929
39575.js,0.3049728008872733,0.8824483667908929
39641.js,0.3282771369265292,0.8706484898697716
39657.js,0.3031893189224432,0.8824483667908929
39685.js,0.3077080377164062,0.8824483667908929
39689.js,0.33302127210093746,0.8706484898697716
39795.js,0.3058764259813489,0.8824483667908929
39835.js,0.3049728008872733,0.8824483667908929
39845.js,0.3058764259813489,0.8824483667908929
39953.js,0.3058764259813489,0.8824483667908929
39987.js,0.3049728008872733,0.8824483667908929
40095.js,0.3049728008872733,0.8824483667908929
40133.js,0.3464892583948149,0.854409201118679
40172.js,0.3058764259813489,0.8824483667908929
40283.js,0.3058764259813489,0.8824483667908929
40486.js,0.30863626919962633,0.8824483667908929
40512.js,0.33015034549452155,0.8706484898697716
40938.js,0.3049728008872733,0.8824483667908929
40984.js,0.3049728008872733,0.8824483667908929
41114.js,0.3031893189224432,0.8824483667908929
41351.js,0.3067881312103652,0.8824483667908929
41427.js,0.3049728008872733,0.8824483667908929
41525.js,0.3077080377164062,0.8824483667908929
41703.js,0.3049728008872733,0.8824483667908929
41746.js,0.3049728008872733,0.8824483667908929
41759.js,0.3058764259813489,0.8824483667908929
41785.js,0.33015034549452155,0.8706484898697716
41931.js,0.32735241076015753,0.8706484898697716
41949.js,0.3049728008872733,0.8824483667908929
42393.js,0.3282771369265292,0.8706484898697716
42462.js,0.3058764259813489,0.8824483667908929
42466.js,0.3049728008872733,0.8824483667908929
42622.js,0.3285091522175248,0.8781140799175228
42641.js,0.3040771372765101,0.8824483667908929
42720.js,0.3058764259813489,0.8824483667908929
42722.js,0.3040771372765101,0.8824483667908929
42892.js,0.3058764259813489,0.8824483667908929
42984.js,0.3077080377164062,0.8824483667908929
43082.js,0.3058764259813489,0.8824483667908929
43405.js,0.3266372899592439,0.8781140799175228
43492.js,0.3067881312103652,0.8824483667908929
43566.js,0.3034105442849113,0.8824483667908929
43851.js,0.3058764259813489,0.8824483667908929
43891.js,0.3049728008872733,0.8824483667908929
43898.js,0.3058764259813489,0.8824483667908929
43931.js,0.3058764259813489,0.8824483667908929
43981.js,0.3031893189224432,0.8824483667908929
44079.js,0.3049728008872733,0.8824483667908929
44114.js,0.3058764259813489,0.8824483667908929
44122.js,0.32756920994133026,0.8781140799175228
44139.js,0.3051979561788414,0.8824483667908929
44169.js,0.37378473899526665,0.8270910481863829
44293.js,0.30863626919962633,0.8824483667908929
44333.js,0.3049728008872733,0.8824483667908929
44354.js,0.4908632919446193,0.8687541847450109
44431.js,0.3031893189224432,0.8824483667908929
44471.js,0.3040771372765101,0.8824483667908929
44473.js,0.3067881312103652,0.8824483667908929
44518.js,0.3040771372765101,0.8824483667908929
44553.js,0.3040771372765101,0.8824483667908929
44575.js,0.3040771372765101,0.8824483667908929
44576.js,0.3040771372765101,0.8824483667908929
44624.js,0.3049728008872733,0.8824483667908929
44685.js,0.3049728008872733,0.8824483667908929
44963.js,0.3049728008872733,0.8824483667908929
45063.js,0.3067881312103652,0.8824483667908929
45101.js,0.3640165158921696,0.8624216160156492
45107.js,0.3049728008872733,0.8824483667908929
45154.js,0.3040771372765101,0.8824483667908929
45220.js,0.3049728008872733,0.8824483667908929
45243.js,0.3040771372765101,0.8824483667908929
45324.js,0.3292097443082097,0.8706484898697716
45333.js,0.3310990553395288,0.8706484898697716
46.js,0.4284528831217999,0.8384043828125352
46432.js,0.19513961719414002,0.9130434782608696
4654.js,0.15391121883271508,0.9285714285714286
47154.js,0.3862947093664008,0.8705949296291949
47289.js,0.11015898463627034,0.7777777777777778
47656.js,0.10144749970923668,0.8333333333333334
49340.js,0.2269596756426948,0.8163265306122449
49662.js,0.3485484427729494,0.8114429121115485
50382.js,0.3321418357500308,0.7638287395970011
50453.js,0.4477021858406703,0.7662061249685601
50529.js,0.2413075886643423,0.6846531968814576
50562.js,0.22369181679705116,0.7309879850882874
50570.js,0.2432668163999205,0.6931032800836721
50605.js,0.3873111544360369,0.7379802493151333
50674.js,0.3328713326493031,0.7335453415542506
51042.js,0.4281748197181131,0.8143664147069438
51051.js,0.531918915860301,0.9013605442176872
51153.js,0.42915420573250296,0.9421119625783928
