FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe
100063.js,-1.0,-1.0,-1.0,-1.0,-1.0
100094.js,0.8333333333333334,-1.0,1.0,0.09325048082403138,0.8333333333333334
100111.js,-1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0,-1.0,-1.0
100561.js,1.0,-1.0,1.0,0.06810052246069989,0.6324555320336759
100583.js,1.0,-1.0,1.0,0.09421683286017897,0.5
100586.js,1.0,-1.0,1.0,0.026919095102908276,1.0
100610.js,-1.0,-1.0,-1.0,-1.0,-1.0
100691.js,0.26705838705062596,0.7900085285471954,0.26705838705062596,0.21656642762976494,-1.0
100778.js,-1.0,-1.0,-1.0,-1.0,-1.0
100815.js,1.0,-1.0,1.0,0.026919095102908276,1.0
100896.js,0.39703253529313504,0.5422867870848123,0.39703253529313504,0.27966182685271207,-1.0
101009.js,0.12793206052938005,0.404145188432738,0.12793206052938005,0.12038585308576921,-1.0
101085.js,0.8838834764831844,-1.0,0.9375,0.10469071079869613,0.8838834764831844
101196.js,0.07106690545187015,-1.0,0.07106690545187015,0.011478340719169698,0.07106690545187015
101223.js,0.11694106924093722,1.0,0.11694106924093722,0.09421683286017897,-1.0
101529.js,0.1161495808278082,1.0,0.1161495808278082,0.09421683286017897,-1.0
101576.js,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101606.js,0.7826237921249264,-1.0,1.0,0.03806934938134405,-1.0
101611.js,-1.0,-1.0,-1.0,-1.0,-1.0
101709.js,0.13301364522388445,0.7267220926874316,0.13346150388239203,0.10469071079869613,-1.0
101800.js,0.17194165290282745,0.9090909090909091,0.17194165290282745,0.1217461883894185,-1.0
102055.js,0.116543309349613,1.0,0.116543309349613,0.09421683286017897,-1.0
102202.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
102658.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
102694.js,1.0,-1.0,1.0,0.07770873402002615,1.0
10292.js,-1.0,-1.0,-1.0,-1.0,-1.0
102952.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
103438.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
103695.js,0.10144749970923667,1.0,0.10144749970923667,0.07770873402002615,-1.0
10398.js,0.2591561422215784,0.7469879518072289,0.2591561422215784,0.0752157713363797,-1.0
104116.js,0.4811878539446276,0.737180238215208,-1.0,0.42479071133845686,-1.0
10414.js,-1.0,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0,-1.0,-1.0
104155.js,0.20914176994993516,0.6976315752707978,0.20914176994993516,0.1749741181689038,-1.0
104359.js,0.4109080830734521,0.5141079898357769,0.4114208978950227,0.45638179436421805,-1.0
10485.js,-1.0,-1.0,-1.0,-1.0,-1.0
