FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
40938.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40984.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41114.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
41351.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
41427.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41525.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
4165.js,0.440815152,0.597058749,-1,0.51099837,-1
41703.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41746.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41759.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
41785.js,0.330150345,0.87064849,0.33062368,0.224300154,0.87064849
41931.js,0.327352411,0.87064849,0.327813796,0.224300154,0.87064849
41949.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
42393.js,0.328277137,0.87064849,0.328742448,0.224300154,0.87064849
42462.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
42466.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
42622.js,0.328509152,0.87811408,0.328982168,0.228416096,0.87811408
42641.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
42720.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
42722.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
42892.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
42984.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
43082.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
43405.js,0.32663729,0.87811408,0.327102254,0.228416096,0.87811408
43492.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
43566.js,0.303410544,0.882448367,0.303854452,0.218592829,0.882448367
43851.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
43891.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
43898.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
43931.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
43981.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
44079.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
44114.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
44122.js,0.32756921,0.87811408,0.328038171,0.228416096,0.87811408
44139.js,0.305197956,0.882448367,0.305649767,0.218592829,0.882448367
44169.js,0.373784739,0.827091048,0.374280804,0.205437716,0.827091048
44293.js,0.308636269,0.882448367,0.309103546,0.218592829,0.882448367
44333.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
44354.js,0.490863292,0.751067616,-1,0.482300454,0.868270742
44431.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
44471.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
44473.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
44518.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
44553.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
44575.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
44576.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
44624.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
44685.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
448.js,-1,-1,-1,-1,-1
44963.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
45063.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
45101.js,0.364016516,0.862421616,0.364518262,0.227119941,0.862421616
45107.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
45154.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
45220.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
45243.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
45324.js,0.329209744,0.87064849,0.329679039,0.224300154,0.87064849
45333.js,0.331099055,0.87064849,0.331576488,0.224300154,0.87064849
45502.js,0.474569323,0.55059562,-1,0.308111761,-1
45730.js,-1,-1,-1,-1,-1
45861.js,-1,-1,-1,-1,-1
45919.js,-1,-1,-1,-1,-1
46.js,0.428452883,0.5801723,0.428452883,0.416698844,-1
46063.js,-1,-1,-1,-1,-1
46104.js,-1,-1,-1,-1,-1
46111.js,-1,-1,-1,-1,-1
46413.js,-1,-1,-1,-1,-1
46432.js,0.195139617,0.913043478,0.195139617,0.182574186,0.913043478
4654.js,0.153911219,0.928571429,0.153911219,0.142442462,0.928571429
46572.js,-1,-1,-1,-1,-1
4676.js,0.356607779,0.651956623,0.357215116,0.321360479,-1
46860.js,-1,-1,-1,-1,-1
47010.js,-1,-1,-1,-1,-1
47021.js,-1,-1,-1,-1,-1
47113.js,-1,-1,-1,-1,-1
47154.js,0.386294709,0.75286503,0.386294709,0.306204707,0.826244226
47250.js,-1,-1,-1,-1,-1
47289.js,0.110158985,0.777777778,0.110158985,0.101518265,0.777777778
47526.js,-1,-1,-1,-1,-1
47656.js,0.1014475,0.833333333,0.1014475,0.093250481,0.833333333
48874.js,-1,-1,-1,-1,-1
48940.js,-1,-1,-1,-1,-1
49340.js,0.226959676,-1,0.226959676,0.097892613,0.816326531
49662.js,0.348548443,0.718751289,0.349198114,0.312862464,0.792481976
49680.js,0.8,-1,0.9,0.120385853,-1
49711.js,0.481729919,0.561830343,-1,0.271658705,-1
50055.js,0.437616009,0.481352672,-1,0.515749043,-1
50084.js,0.429130658,0.613458135,0.429268178,0.559107122,-1
50145.js,0.355441745,0.422473969,-1,0.618373455,-1
50382.js,0.332141836,0.548333734,0.331294894,0.208321256,-1
50435.js,0.376857174,0.482732435,-1,0.431820276,-1
50453.js,0.447702186,0.596872005,-1,0.405549455,0.72132091
50529.js,0.241307589,0.594186747,0.241307589,0.134595476,0.652777778
50562.js,0.223691817,0.581552631,0.223691817,0.107778298,0.652472697
50570.js,0.243266816,0.594186747,0.243266816,0.134595476,0.653305258
50605.js,0.387311154,0.600908929,0.387913349,0.408941243,0.740267871
50674.js,0.332871333,0.526965186,0.332871333,0.378801186,0.733545924
50721.js,0.346025504,0.455463961,-1,0.441461222,-1
50732.js,0.331885285,0.496429104,-1,0.354836767,-1
51042.js,0.42817482,0.553110743,0.427120338,0.483653326,0.802328117
51051.js,0.531918916,0.826110584,0.531918916,0.48623465,0.901360544
51153.js,0.429154206,0.854193715,0.419988868,0.336178465,0.924050633
51297.js,0.336554235,0.574073963,0.336968796,0.320079042,0.692931201
51515.js,0.319193969,0.780952519,0.319652911,0.298530582,0.878458592
51803.js,0.628317355,0.938818565,0.628317355,0.020982998,0.938818565
51903.js,0.624655918,0.94017094,0.624655918,0.021117076,0.94017094
5191.js,0.181818182,0.85,0.181818182,0.161738741,0.85
51915.js,0.605249927,0.933806147,0.605249927,0.022211941,0.933806147
51925.js,0.654563417,0.946886447,0.654563417,0.019550613,0.946886447
51930.js,0.604754063,0.934731935,0.604754063,0.022056066,0.934731935
52115.js,0.351719636,0.825757576,0.351719636,0.039762139,0.825757576
5217.js,0.398789517,0.763798753,0.400320385,0.381362926,0.812982888
52191.js,0.379352938,0.846666667,0.379352938,0.037300192,0.846666667
52286.js,0.353712707,0.82962963,0.353712707,0.039317855,0.82962963
52340.js,0.38488589,0.852564103,0.38488589,0.036575848,0.852564103
524.js,-1,-1,-1,-1,-1
52423.js,0.410639468,0.87431694,0.410639468,0.033770007,0.87431694
5246.js,0.433667587,0.662444942,0.434849782,0.361923684,0.708257751
52707.js,0.373192035,0.71756088,0.373192035,0.326882508,-1
52733.js,0.390761334,0.54606579,0.391014336,0.438685264,-1
52883.js,0.415144478,0.638600675,0.378566637,0.411237751,-1
52943.js,0.278108008,0.709128574,0.278506159,0.203310025,0.805943128
53065.js,0.186939125,0.806451613,0.186939125,0.150424054,0.806451613
53075.js,0.487119883,0.612819889,-1,0.559641085,-1
53082.js,-1,-1,-1,-1,-1
53399.js,0.383260241,0.524143746,0.383534684,0.410380111,-1
53620.js,0.331420906,0.671345087,0.331420906,0.322491246,0.753689152
53628.js,0.404206711,-1,0.407063331,0.32081507,0.72202536
53659.js,0.33859931,0.839479661,0.33859931,0.249973301,0.839479661
53667.js,0.400616808,0.797550457,0.400616808,0.327212476,0.822786741
53673.js,0.344076493,0.754672942,0.344076493,0.299178626,0.795495129
53701.js,0.368445641,0.697485832,0.36913583,0.307137533,0.697485832
53741.js,0.367939613,0.768776007,0.368643804,0.284969699,0.785674201
53868.js,0.430408834,0.656174148,0.430753575,0.479183022,-1
5396.js,0.583317599,0.680474031,-1,0.443627757,-1
53980.js,0.313642828,0.831385645,0.313642828,0.224300154,0.831385645
54129.js,0.406562468,-1,0.40414099,0.361265031,0.825991046
54354.js,0.450495323,0.679004605,-1,0.318354088,0.715919383
54409.js,0.357081452,0.853932584,0.357081452,0.274403322,0.853932584
54693.js,0.404438012,0.729762548,0.404667741,0.333485854,0.829792211
54815.js,0.431722208,0.885155341,0.432278193,0.392488377,0.885155341
