FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
100691.js,0.6,0.0,0.8,0.2,-1.0,0.0
100896.js,0.2307692307692308,0.0,0.3076923076923077,0.6923076923076923,-1.0,0.0
101009.js,3.0,0.0,4.0,3.0,-1.0,0.0
101223.js,3.0,0.0,4.0,3.0,-1.0,0.0
101529.js,3.0,0.0,4.0,3.0,-1.0,0.0
101709.js,3.0,0.0,4.0,3.0,-1.0,0.0
101800.js,1.5,0.0,2.0,1.0,-1.0,0.0
102055.js,3.0,0.0,4.0,3.0,-1.0,0.0
102202.js,3.0,0.0,4.0,3.0,-1.0,0.0
102658.js,3.0,0.0,4.0,3.0,-1.0,0.0
102952.js,3.0,0.0,4.0,3.0,-1.0,0.0
103438.js,3.0,0.0,4.0,3.0,-1.0,0.0
103695.js,3.0,0.0,4.0,3.0,-1.0,0.0
10398.js,1.5,0.0,2.0,1.0,-1.0,0.0
104116.js,0.42857142857142855,0.0,1.0,0.42857142857142855,-1.0,0.0
104155.js,0.75,0.0,1.0,0.0,-1.0,0.0
104359.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,-1.0
11062.js,0.2,0.0,0.26666666666666666,0.7333333333333333,-1.0,0.0
11427.js,0.15789473684210525,0.0,1.0,0.7894736842105263,-1.0,0.0
11429.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
11761.js,0.2307692307692308,0.0,0.3076923076923077,0.6923076923076923,-1.0,-1.0
12224.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
1255.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,-1.0
1281.js,1.0,0.0,1.6666666666666667,0.3333333333333333,-1.0,-1.0
13070.js,3.0,0.0,1.0,3.0,-1.0,0.0
13312.js,1.5,0.0,2.0,1.0,-1.0,0.0
13575.js,0.21428571428571427,0.0,0.2857142857142857,0.7142857142857143,-1.0,0.0
13628.js,0.2727272727272727,0.0,0.3636363636363637,0.6363636363636364,-1.0,0.0
13630.js,0.2307692307692308,0.0,1.0,0.6923076923076923,-1.0,-1.0
13693.js,0.75,0.0,1.0,0.0,-1.0,-1.0
13749.js,3.0,0.0,4.0,3.0,-1.0,0.0
138.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
1407.js,0.375,0.0,0.5,0.5,-1.0,0.0
1432.js,0.6,0.0,0.8,0.2,-1.0,-1.0
1460.js,3.0,0.0,4.0,3.0,-1.0,0.0
1503.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
1587.js,1.0,0.0,1.0,0.3333333333333333,-1.0,0.0
1590.js,0.14285714285714285,0.0,1.0,0.8095238095238095,-1.0,-1.0
1616.js,0.6,0.0,1.0,0.2,-1.0,-1.0
1718.js,0.75,0.0,1.0,0.0,-1.0,0.0
17294.js,3.0,0.0,4.0,3.0,-1.0,0.0
1732.js,1.5,0.0,2.0,1.0,-1.0,0.0
17569.js,3.0,0.0,4.0,3.0,-1.0,0.0
1776.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
18831.js,3.0,0.0,4.0,3.0,-1.0,0.0
18887.js,3.0,0.0,4.0,3.0,-1.0,0.0
19732.js,0.6,0.0,0.8,0.2,-1.0,0.0
19764.js,1.5,0.0,2.0,1.0,-1.0,0.0
19765.js,1.5,0.0,2.0,1.0,-1.0,0.0
19772.js,3.0,0.0,4.0,3.0,-1.0,0.0
19847.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
19912.js,0.75,0.0,1.0,0.0,-1.0,0.0
19946.js,3.0,0.0,4.0,3.0,-1.0,0.0
19970.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
19985.js,1.0,0.0,1.0,0.3333333333333333,-1.0,0.0
20050.js,1.5,0.0,2.0,1.0,-1.0,0.0
20087.js,1.5,0.0,2.0,1.0,-1.0,0.0
20134.js,1.5,0.0,1.0,1.0,-1.0,-1.0
20268.js,3.0,0.0,4.0,3.0,-1.0,0.0
20473.js,3.0,0.0,4.0,3.0,-1.0,0.0
20524.js,3.0,0.0,4.0,3.0,-1.0,0.0
20564.js,3.0,0.0,4.0,3.0,-1.0,0.0
20750.js,3.0,0.0,4.0,3.0,-1.0,0.0
20837.js,3.0,0.0,4.0,3.0,-1.0,0.0
21.js,1.5,0.0,1.0,1.0,-1.0,0.0
21166.js,1.0,0.0,1.0,0.3333333333333333,-1.0,-1.0
21170.js,1.5,0.0,2.0,1.0,-1.0,-1.0
21436.js,3.0,0.0,4.0,3.0,-1.0,0.0
21552.js,1.5,0.0,2.0,1.0,-1.0,0.0
21736.js,1.5,0.0,2.0,1.0,-1.0,0.0
21946.js,0.75,0.0,1.0,0.0,-1.0,0.0
22499.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
22516.js,1.5,0.0,1.0,1.0,-1.0,0.0
2324.js,0.3,0.0,0.4,0.6,-1.0,0.0
24270.js,0.2,0.0,0.26666666666666666,0.7333333333333333,-1.0,0.0
24292.js,0.375,0.0,0.5,0.5,-1.0,0.0
24371.js,0.5,0.0,0.8333333333333334,0.3333333333333333,-1.0,-1.0
24860.js,3.0,0.0,4.0,3.0,-1.0,-1.0
24862.js,3.0,0.0,1.0,3.0,-1.0,-1.0
24907.js,0.6,0.0,0.8,0.2,-1.0,-1.0
24913.js,1.5,0.0,2.0,1.0,-1.0,0.0
2496.js,3.0,0.0,4.0,3.0,-1.0,0.0
2614.js,3.0,0.0,4.0,3.0,-1.0,0.0
2656.js,0.6,0.0,0.8,0.2,-1.0,0.0
27598.js,0.375,0.0,0.5,0.5,-1.0,0.0
27724.js,0.375,0.0,0.5,0.5,-1.0,0.0
27838.js,0.375,0.0,0.5,0.5,-1.0,0.0
27846.js,0.375,0.0,0.5,0.5,-1.0,0.0
27880.js,0.375,0.0,0.5,0.5,-1.0,0.0
27891.js,0.375,0.0,0.5,0.5,-1.0,0.0
27902.js,0.375,0.0,0.5,0.5,-1.0,0.0
28298.js,0.375,0.0,0.5,0.5,-1.0,0.0
28473.js,0.375,0.0,0.5,0.5,-1.0,0.0
28688.js,0.375,0.0,0.5,0.5,-1.0,0.0
28808.js,0.375,0.0,0.5,0.5,-1.0,0.0
28877.js,0.375,0.0,0.5,0.5,-1.0,0.0
28976.js,0.375,0.0,0.5,0.5,-1.0,0.0
29012.js,0.375,0.0,0.5,0.5,-1.0,0.0
