FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe
100063.js,-1.0,-1.0,-1.0,-1.0,-1.0
100094.js,0.1682316462276133,0.17586311452816478,0.17912443020795965,0.09325048082403138,0.17149858514250885
100111.js,-1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0,-1.0,-1.0
100561.js,0.16308201826336055,-1.0,0.17251638983558856,0.06810052246069989,0.1671315676162189
100583.js,0.19851666679418603,-1.0,0.21140656903267596,0.09421683286017897,0.1809806914982567
100586.js,0.11043152607484653,-1.0,0.11867816581938533,0.026919095102908276,0.11322770341445956
100610.js,-1.0,-1.0,-1.0,-1.0,-1.0
100691.js,0.3950042642735977,-1.0,0.42046106596228133,0.21656642762976494,0.41936185055644687
100778.js,-1.0,-1.0,-1.0,-1.0,-1.0
100815.js,0.10050378152592121,-1.0,0.10752066611409407,0.026919095102908276,0.10341753799900383
100896.js,0.44616624195400467,-1.0,0.4438631241568562,0.27966182685271207,-1.0
101009.js,0.21176177494381337,0.219793491131929,0.22703830459324992,0.12038585308576921,0.21566554640687682
101085.js,0.25128535551620834,0.22360679774997896,0.2684377460965796,0.10469071079869613,0.27277236279499045
101196.js,0.021481793839053773,0.02228835993459966,0.022727272727272728,0.011478340719169698,0.021873931962990357
101223.js,0.1956463952178074,0.1790755785338278,0.20254787341673333,0.09421683286017897,0.19425717247145283
101529.js,0.20628424925175867,0.1612809991711411,0.22019275302527214,0.09421683286017897,0.20965696734438366
101576.js,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101606.js,0.3535533905932738,-1.0,0.4008918628686366,0.03806934938134405,-1.0
101611.js,-1.0,-1.0,-1.0,-1.0,-1.0
101709.js,0.22216542628301555,0.21374114996372895,0.2357797812857538,0.10469071079869613,0.22373922701699214
101800.js,0.2700542407171066,0.22281596663336495,0.28361368116260277,0.1217461883894185,0.28682864310588757
102055.js,0.19900743804199783,0.1563858105428061,0.20519567041703082,0.09421683286017897,0.1965892748731962
102202.js,0.17631812981527,0.15342910298305387,0.1856953381770519,0.07770873402002615,0.17723885738021736
102658.js,0.18359701840863138,0.19127301391900148,0.19304683562633607,0.07770873402002615,0.18516401995451032
102694.js,0.17912443020795965,0.1867718419094071,0.18786728732554486,0.07770873402002615,0.1805787796286538
10292.js,-1.0,-1.0,-1.0,-1.0,-1.0
102952.js,0.18107149208503706,0.15701857325533192,0.19304683562633607,0.07770873402002615,0.18359701840863138
103438.js,0.18156825980064073,0.1889822365046136,0.19245008972987526,0.07770873402002615,0.1846372364689991
103695.js,0.17277368511627203,0.1504823163572115,0.18009006755629925,0.07770873402002615,0.1723454968864278
10398.js,0.389007488735772,-1.0,0.40329964345339875,0.0752157713363797,0.39212209000212245
104116.js,0.5383900278039386,-1.0,-1.0,0.42479071133845686,-1.0
10414.js,-1.0,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0,-1.0,-1.0
104155.js,0.33407655239053047,-1.0,0.3474307909590596,0.1749741181689038,0.32889675724013595
104359.js,0.460899847272145,-1.0,0.46612459034916676,0.45638179436421805,0.4883566230894909
10485.js,-1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0,-1.0,-1.0
11062.js,0.6042787775798455,-1.0,0.6251425241359394,0.26030430005647975,-1.0
11216.js,-1.0,-1.0,-1.0,-1.0,-1.0
11427.js,0.5664581949912197,-1.0,-1.0,0.4490824288153346,-1.0
11429.js,0.4782278706466677,-1.0,0.5284500270083684,0.2516087893381316,-1.0
11761.js,0.5560523801000328,-1.0,0.5762378522805867,0.3713458646931302,-1.0
12012.js,-1.0,-1.0,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0,-1.0,-1.0
12224.js,0.4565735250247231,-1.0,0.484042891344514,0.21385740494084635,-1.0
12339.js,-1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0,-1.0
1255.js,0.48428237587742284,-1.0,0.5135349222944415,0.2938390064189132,-1.0
12699.js,-1.0,-1.0,-1.0,-1.0,-1.0
1281.js,0.5090744697641719,-1.0,0.5284243420285238,0.2984391372685165,-1.0
12896.js,-1.0,-1.0,-1.0,-1.0,-1.0
13070.js,0.2723531626596761,0.2811056885999736,0.3425943549137658,0.1446635276491074,-1.0
13312.js,0.3530151425714641,0.35505753525109224,0.3853185038734673,0.15904855449750882,-1.0
13547.js,0.36380343755449945,-1.0,1.0,0.0761386987626881,-1.0
13575.js,0.47745887389825514,-1.0,0.5551120659583034,0.26028305115300615,-1.0
13620.js,0.22798233487966152,0.23734251860115668,0.2386796701315104,0.1098967455659645,-1.0
13628.js,0.4195044713163535,0.4331875449094198,0.4876802650480542,0.32089691238041856,-1.0
13630.js,0.460140956774979,-1.0,-1.0,0.3418855702935182,-1.0
13693.js,0.40655851379736996,0.4114755998989118,-1.0,0.20204270845206798,-1.0
13749.js,0.13592873654160803,0.1415948439609786,0.1455178812370611,0.07390976450199421,0.1379728923974526
138.js,0.5477451629687529,-1.0,-1.0,0.43901965769808343,-1.0
1407.js,0.466828494013778,-1.0,0.5124728538428621,0.47370706844223887,-1.0
14132.js,1.0,-1.0,1.0,0.07770873402002615,1.0
14141.js,1.0,-1.0,1.0,0.07770873402002615,1.0
14233.js,-1.0,-1.0,-1.0,-1.0,-1.0
1432.js,0.4934603384164346,-1.0,0.528680532637681,0.4367780297347604,-1.0
1437.js,-1.0,-1.0,-1.0,-1.0,-1.0
1460.js,0.4186218947133812,0.4363357183046194,0.4711186354153299,0.30462375345649306,-1.0
14648.js,-1.0,-1.0,-1.0,-1.0,-1.0
14977.js,0.45226701686664544,-1.0,1.0,0.1076763804116331,-1.0
1503.js,0.4159013656047466,-1.0,0.44681974813558056,0.27559803406943106,-1.0
15292.js,1.0,-1.0,1.0,0.0761386987626881,-1.0
15300.js,0.10511766624552735,-1.0,0.11396057645963795,0.026919095102908276,0.1091089451179962
15361.js,0.23712451565257314,0.2467026848422379,0.2515883608132604,0.13726099121798926,-1.0
15580.js,1.0,-1.0,1.0,0.05710402407201607,1.0
15783.js,0.5714285714285714,-1.0,-1.0,0.07194430788361927,0.5714285714285714
15855.js,1.0,-1.0,-1.0,0.06729773775727069,-1.0
1587.js,0.49791097065911855,-1.0,-1.0,0.3369458377171375,-1.0
1590.js,0.554145690862899,-1.0,-1.0,0.2893888265349628,-1.0
1616.js,0.5163409927572934,-1.0,-1.0,0.5901446160858489,-1.0
16222.js,0.20454545454545456,0.21320071635561041,0.21254572028740787,0.022956681438339396,-1.0
16434.js,0.7559289460184544,-1.0,1.0,0.014388861576723854,0.7559289460184544
17034.js,1.0,-1.0,1.0,0.05710402407201607,-1.0
17041.js,1.0,-1.0,1.0,0.05710402407201607,-1.0
1718.js,0.38894604253841786,-1.0,0.4260894696654034,0.2212586550480078,-1.0
17294.js,0.3996690502358747,-1.0,0.7112867591590193,0.08731808887763519,-1.0
1732.js,0.3165913717090045,-1.0,0.3326721084000236,0.1367449706273321,-1.0
17569.js,0.12344267996967354,0.12909944487358055,0.1301200097264711,0.017025130615174973,-1.0
1776.js,0.45778870111068987,-1.0,0.4714570361948365,0.21236298927940872,-1.0
1804.js,-1.0,-1.0,-1.0,-1.0,-1.0
18204.js,-1.0,-1.0,-1.0,-1.0,-1.0
18831.js,0.4122910522245499,0.4205550915959994,0.4190321060909896,0.35543078792335064,0.4069937308810589
18887.js,0.43850966160987387,0.44726329418272515,0.4422166387140533,0.35200244872120406,0.4340425536660414
19689.js,-1.0,-1.0,-1.0,-1.0,-1.0
19732.js,0.31126859991847244,0.32332213824863537,0.32590531223481606,0.16966321698117656,0.3572166161237994
19764.js,0.47711310696280373,0.49355516477177,0.5037175233040658,0.26776202996099363,0.452087093310659
19765.js,0.2606936229533505,0.27144835701531844,0.278115203285154,0.06104676956673598,-1.0
19772.js,0.2534015168998072,0.26450460594697434,0.26450460594697434,0.05710402407201607,-1.0
19847.js,0.4562203284814607,-1.0,0.5000577200579124,0.190096947918642,-1.0
19912.js,0.3955535172818131,-1.0,0.40754269936454207,0.11420804814403215,-1.0
19946.js,0.2993704085400459,-1.0,0.317063243737114,0.07860336953666276,-1.0
19970.js,0.41983317128567477,-1.0,0.4537093826396549,0.21210066083891685,0.41239304942116123
19985.js,0.42316838398981116,-1.0,-1.0,0.1387737998557591,-1.0
20050.js,0.27888667551135854,0.2904089347757578,0.2930692248465322,0.06104676956673598,-1.0
20087.js,0.45700469756782186,-1.0,0.46649967130783104,0.25772277116069553,-1.0
20134.js,0.4050086495929698,0.41897854864806,-1.0,0.2114722130550724,-1.0
20226.js,0.1729171253112705,0.18041543379727912,0.1787266406203498,0.10072203103706698,0.08748177652797064
20252.js,0.19245008972987526,0.2005738892714385,0.20351933162035313,0.07194430788361927,0.08547043234472845
20268.js,0.2832352771499734,0.2952931892760994,0.3178208630818641,0.10215078369104984,0.30499714066520933
2044.js,-1.0,-1.0,-1.0,-1.0,-1.0
20473.js,0.34286274066187084,0.3537007966412014,0.40844777656932457,0.2054377162259489,0.39291171663133717
20524.js,0.28450255541185293,0.2811127713994909,0.30117024685041466,0.15322617553657475,0.2870889954773622
20564.js,0.19015970731391624,-1.0,0.20124611797498107,0.04815434123430768,-1.0
