FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
41785.js,1,0.122807018,0.583333333,,,
41931.js,1,0.122807018,0.583333333,,,
41949.js,1,0.125,0.636363636,,,
42393.js,1,0.122807018,0.583333333,,,
42462.js,1,0.125,0.636363636,,,
42466.js,1,0.125,0.636363636,,,
42622.js,1,0.125,0.636363636,,,
42641.js,1,0.125,0.636363636,,,
42720.js,1,0.125,0.636363636,,,
42722.js,1,0.125,0.636363636,,,
42892.js,1,0.125,0.636363636,,,
42984.js,1,0.125,0.636363636,,,
43082.js,1,0.125,0.636363636,,,
43405.js,1,0.125,0.636363636,,,
43492.js,1,0.125,0.636363636,,,
43566.js,1,0.125,0.636363636,,,
43851.js,1,0.125,0.636363636,,,
43891.js,1,0.125,0.636363636,,,
43898.js,1,0.125,0.636363636,,,
43931.js,1,0.125,0.636363636,,,
43981.js,1,0.125,0.636363636,,,
44079.js,1,0.125,0.636363636,,,
44114.js,1,0.125,0.636363636,,,
44122.js,1,0.125,0.636363636,,,
44139.js,1,0.125,0.636363636,,,
44169.js,1,0.116666667,0.466666667,,,
44293.js,1,0.125,0.636363636,,,
44333.js,1,0.125,0.636363636,,,
44354.js,0.627906977,0.128712871,0.270833333,,,
44431.js,1,0.125,0.636363636,,,
44471.js,1,0.125,0.636363636,,,
44473.js,1,0.125,0.636363636,,,
44518.js,1,0.125,0.636363636,,,
44553.js,1,0.125,0.636363636,,,
44575.js,1,0.125,0.636363636,,,
44576.js,1,0.125,0.636363636,,,
44624.js,1,0.125,0.636363636,,,
44685.js,1,0.125,0.636363636,,,
44963.js,1,0.125,0.636363636,,,
45063.js,1,0.125,0.636363636,,,
45101.js,1,0.122807018,0.583333333,,,
45107.js,1,0.125,0.636363636,,,
45154.js,1,0.125,0.636363636,,,
45220.js,1,0.125,0.636363636,,,
45243.js,1,0.125,0.636363636,,,
45324.js,1,0.122807018,0.583333333,,,
45333.js,1,0.122807018,0.583333333,,,
46432.js,1,0.08,0.666666667,,,
4654.js,1,0.06122449,0.75,,,
47154.js,0.678571429,0.113924051,0.272727273,,,
47289.js,1,0.020408163,0.333333333,,,
47656.js,1,0.020833333,0.5,,,
49340.js,1,0.017857143,0.1,,,
49662.js,0.3125,0.074626866,0.263157895,,,
50453.js,1,0.030701754,0.042944785,,,
50529.js,0.857142857,0.014084507,0.045454545,,,
