FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,
86065.js,1,1.6,1,,
86235.js,1,1.75,1,,
86436.js,1,2.5,1,,
86507.js,1,2.5,1,,
86715.js,1,2.5,1,,
86735.js,1,1.75,1,,
86811.js,1,1.6,1,,
86832.js,1,1.375,1,,
86969.js,1,1.5,1,,
87032.js,1,4,1,,
87083.js,1,4,1,,
87103.js,1,4,1,,
87319.js,1,4,1,,
87347.js,1,4,1,,
87349.js,1,4,1,,
87389.js,1,4,1,,
87599.js,1,4,1,,
87741.js,1,2.5,1,,
87868.js,1,4,1,,
87950.js,1,2.5,1,,
88245.js,1,4,1,,
88281.js,1,2.5,1,,
88338.js,1,2,1,,
88368.js,1,1.272727273,1,,
88502.js,1,4,1,,
88584.js,1,2.5,1,,
88669.js,1,2,1,,
88692.js,1,2,1,,
89372.js,1,4,1,,
89559.js,1,4,1,,
89608.js,1,1.428571429,1,,
89933.js,1,2.5,1,,
90997.js,1,2.5,1,,
91312.js,1,1.375,1,,
91394.js,1,1.75,1,,
91446.js,1,2,1,,
91677.js,1,1.6,1,,
91734.js,1,1.272727273,1,,
91748.js,1,1.75,1,,
92794.js,1,1.75,1,,
93449.js,1,4,1,,
94210.js,1,4,1,,
94309.js,1,1.6,1,,
94320.js,1,4,1,,
94449.js,1,1.5,1,,
94637.js,1,4,1,,
94705.js,1,4,1,,
94749.js,1,4,1,,
94934.js,1,2,1,,
94937.js,1,1.428571429,1,,
95059.js,1,2,1,,
95188.js,1,4,1,,
95304.js,1,4,1,,
95349.js,1,4,1,,
95354.js,1,4,1,,
95511.js,1,1.176470588,1,,
95745.js,1,4,1,,
96010.js,1,1.5,1,,
96286.js,1,1.6,1,,
96412.js,1,1.5,1,,
96460.js,1,1.6,1,,
96609.js,1,1.1875,1,,
96866.js,1,4,1,,
97023.js,1,1.428571429,1,,
971.js,1,2.5,1,,
97154.js,1,2.5,1,,
97160.js,1,2,1,,
97966.js,1,1.333333333,1,,
97999.js,1,1.75,1,,
9814.js,1,4,1,,
98605.js,1,1.428571429,1,,
98613.js,1,2.5,1,,
98893.js,1,1.5,1,,
98898.js,1,1.375,1,,
98983.js,1,1.333333333,1,,
99156.js,1,2,1,,
99288.js,1,1.428571429,1,,
99502.js,1,2.5,1,,
9958.js,1,4,1,,
99582.js,1,1.75,1,,
99986.js,1,2.5,1,,
99988.js,1,2.5,1,,
