FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
27598.js,1,0.269230769,0.35,0.35,,,
27724.js,1,0.269230769,0.538461538,0.538461538,,,
27838.js,1,0.28,0.368421053,0.368421053,,,
27846.js,1,0.28,0.583333333,0.368421053,,,
27880.js,1,0.28,0.368421053,0.368421053,,,
27891.js,1,0.28,0.368421053,0.368421053,,,
27902.js,1,0.28,0.368421053,0.368421053,,,
28298.js,1,0.28,0.583333333,0.368421053,,,
28473.js,1,0.28,0.583333333,0.368421053,,,
28688.js,1,0.28,0.368421053,0.583333333,,,
28808.js,1,0.28,0.368421053,0.583333333,,,
28877.js,1,0.28,0.368421053,0.583333333,,,
28976.js,1,0.28,0.368421053,0.368421053,,,
29012.js,1,0.28,0.368421053,0.583333333,,,
29132.js,1,0.28,0.368421053,0.368421053,,,
29148.js,1,0.24137931,0.304347826,0.304347826,,,
29213.js,1,0.28,0.368421053,0.583333333,,,
29258.js,1,0.28,0.583333333,0.368421053,,,
29294.js,1,0.28,0.583333333,0.583333333,,,
29386.js,1,0.28,0.368421053,0.368421053,,,
29408.js,1,0.28,0.583333333,0.368421053,,,
29474.js,1,0.28,0.368421053,0.368421053,,,
29533.js,1,0.28,0.583333333,0.368421053,,,
29540.js,1,0.28,0.368421053,0.368421053,,,
29567.js,1,0.28,0.368421053,0.368421053,,,
29651.js,1,0.28,0.368421053,0.368421053,,,
29704.js,1,0.28,0.368421053,0.368421053,,,
2985.js,1,0.066666667,0.5,0.5,,,
3062.js,1,0.066666667,0.5,0.5,,,
3174.js,1,0.066666667,0.5,0.5,,,
3284.js,1,0.066666667,0.5,0.5,,,
3354.js,1,0.066666667,0.5,0.5,,,
3391.js,1,0.066666667,0.5,0.5,,,
3465.js,1,0.066666667,0.5,0.5,,,
3558.js,1,0.103448276,0.1875,0.130434783,,,
3653.js,1,0.066666667,0.5,0.5,,,
3659.js,1,0.066666667,0.5,0.5,,,
3717.js,1,0.066666667,0.5,0.5,,,
3718.js,1,0.066666667,0.5,0.5,,,
3801.js,1,0.066666667,0.5,0.5,,,
3873.js,1,0.066666667,0.5,0.5,,,
38760.js,1,0.28,0.368421053,0.583333333,,,
